rank,airport,iata code,city,state,metro population,latitude,longitude
1,Hartsfield-Jackson Atlanta International Airport,ATL,Atlanta,Georgia,6144050,33.63616168219499,-84.42939280483145
2,Dallas/Fort Worth International Airport,DFW,Dallas;Fort Worth,Texas,7637387,32.89347973839914,-97.04431284659218
3,Denver International Airport,DEN,Denver,Colorado,2963821,39.85592359989282,-104.67647895891056
4,O'Hare International Airport,ORD,Chicago,Illinois,9618502,41.98022640096476,-87.90899915295887
5,Los Angeles International Airport,LAX,Los Angeles,California,18372485,33.943751258500676,-118.40910694786375
6,John F. Kennedy International Airport,JFK,New York City,New York,20140470,40.64457562744806,-73.77971423106759
7,Harry Reid International Airport,LAS,Las Vegas,Nevada,2265461,36.08309915330465,-115.14820230234423
8,Orlando International Airport,MCO,Orlando,Florida,2691925,28.424604194027093,-81.31064546777603
9,Miami International Airport,MIA,Miami,Florida,6138333,25.795044100125203,-80.2796541653825
10,Charlotte Douglas International Airport,CLT,Charlotte,North Carolina,2660329,35.214414414567436,-80.94883260421297
11,Seattle-Tacoma International Airport,SEA,Seattle,Washington,4018762,47.44835073865178,-122.30862343087539
12,Phoenix Sky Harbor International Airport,PHX,Pheonix,Arizona,4845832,33.435246175489766,-112.01012534350744
13,Newark Liberty International Airport,EWR,Newark,New Jersey,20140470,40.69803287218045,-74.17623172319227
14,San Francisco International Airport,SFO,San Francisco,California,7076000,37.62001988954842,-122.37997455997906
15,George Bush Intercontinental Airport,IAH,Houston,Texas,7122240,29.993025385589274,-95.34161533547574
16,Logan International Airport,BOS,Boston,Massachusetts,4941632,42.365561298749064,-71.0097645021861
17,Fort Lauderdale-Hollywood International Airport,FLL,Fort Lauderdale;Hollywood,Florida,6138333,26.074176555674942,-80.15061293137599
18,Minneapolis-Saint Paul International Airport,MSP,Minneapolis;Saint Paul,Minnesota,3690261,44.88491926776545,-93.21313393095113
19,LaGuardia Airport,LGA,New York City,New York,20140470,40.77688644888403,-73.8739766310641
20,Detroit Metropolitan Airport,DTW,Detroit,Michigan,4365205,42.213204378592536,-83.35250385986133
21,Philadelphia International Airport,PHL,Philadelphia,Pennsylvania,6245051,39.873073003492806,-75.24367654458084
22,Salt Lake City International Airport,SLC,Salt Lake City,Utah,1257936,40.78740388748157,-111.98534914455716
23,Ronald Reagan Washington National Airport,DCA,Washington D.C.;Arlington,Virginia,6385162,38.85123361636362,-77.04025295994884
24,San Diego International Airport,SAN,San Diego,California,3276208,32.73170321737704,-117.19940350380715
25,Baltimore/Washington International Airport,BWI,Baltimore;Washington D.C.,Maryland,6385162,39.177554837855254,-76.66838890226961
26,Tampa International Airport,TPA,Tampa,Florida,3175275,27.976955425985313,-82.53018383134419
27,Austin-Bergstrom International Airport,AUS,Austin,Texas,2421115,30.195330120660334,-97.66672027863989
28,Washington Dulles International Airport,IAD,Washington D.C.;Arlington,Virginia,6385162,38.95232368474393,-77.4586344022753
29,Nashville International Airport,BNA,Nashville,Tennessee,2072283,36.12446163854284,-86.67813998884999
30,Midway International Airport,MDW,Chicago,Illinois,9618502,41.78675987177323,-87.75218840220174
