source airport,destination airport,airplane type,total Cost,break even cost per ticket
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,12217.385153520885,342.22367376809206
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Boeing 767-800,14271.731441901109,251.7060219030178
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Airbus A200-100,11929.055849888577,294.5445888861377
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Airbus A220-300,10847.820961267405,225.9962700264043
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Boeing 737-600,17473.65233920796,489.4580487173099
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Boeing 767-800,20842.065424009957,367.5849281130504
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Airbus A200-100,17000.892608007685,419.77512612364654
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Airbus A220-300,15228.043616006637,317.25090866680495
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Boeing 737-600,10829.861675517415,303.35746990244866
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Boeing 767-800,12537.327094396771,221.11687997172436
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Airbus A200-100,10590.217406201016,261.48684953582756
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Airbus A220-300,9691.551396264513,201.90732075551068
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Boeing 737-600,25859.16694483733,724.3464130206536
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Boeing 767-800,31323.95868104666,552.45077038883
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Airbus A200-100,25092.178630983388,619.5599661971207
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Airbus A220-300,22215.972454031107,462.8327594589814
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Boeing 737-600,12549.118686118676,351.5159295831562
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Boeing 767-800,14686.398357648348,259.0193713870961
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Airbus A200-100,12249.14960941276,302.44813850401874
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Airbus A220-300,11124.265571765565,231.75553274511594
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Boeing 737-600,23611.652545480174,661.3908276044867
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Boeing 767-800,28514.56568185022,502.9023929779581
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Airbus A200-100,22923.524385989647,566.0129478022135
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Airbus A220-300,20343.043787900147,423.81341224791976
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Boeing 737-600,8553.630309586366,239.59748766348366
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Boeing 767-800,9692.037886982956,170.9354124688352
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Airbus A200-100,8393.853807495616,207.25564956779297
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Airbus A220-300,7794.691924655304,162.38941509698552
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Boeing 737-600,10708.732219319952,299.96448793613314
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Boeing 767-800,12385.915274149942,218.4464774982353
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Airbus A200-100,10473.33810636136,258.60094089781137
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Airbus A220-300,9590.610182766628,199.80437880763807
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Boeing 737-600,6547.373208601026,183.39980976473464
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Boeing 767-800,7184.216510751283,126.70575856704204
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Airbus A200-100,6457.991692509762,159.45658500024103
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Airbus A220-300,6122.811007167522,127.55856264932338
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Boeing 737-600,28510.499820578854,798.6134403523489
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Boeing 767-800,34638.12477572357,610.9016715295162
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Airbus A200-100,27650.482283014688,682.727957605301
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Airbus A220-300,24425.416517149046,508.86284410727177
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Boeing 737-600,21824.295374999405,611.3248004201515
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Boeing 767-800,26280.36921874926,463.4985752865831
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Airbus A200-100,21198.881502192413,523.4291728936398
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Airbus A220-300,18853.579479166172,392.7829058159619
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Boeing 737-600,12387.130048845387,346.9784327407672
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Boeing 767-800,14483.912561056735,255.44819331669729
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Airbus A200-100,12092.844783973622,298.5887600981141
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Airbus A220-300,10989.27504070449,228.94323001467686
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Boeing 737-600,28022.204442728205,784.9356986758602
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Boeing 767-800,34027.75555341026,600.1367822470945
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Airbus A200-100,27179.320076316693,671.0943228720171
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Airbus A220-300,24018.503702273505,500.3854937973647
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Boeing 737-600,11741.917189833903,328.9052434127144
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Boeing 767-800,13677.39648729238,241.22392393813723
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Airbus A200-100,11470.270972646751,283.2165672258457
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Airbus A220-300,10451.59765819492,217.74161787906084
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Boeing 737-600,14639.937296002545,410.08227719895086
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Boeing 767-800,17299.92162000318,305.1132560847122
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Airbus A200-100,14266.606162809474,352.2618805631969
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Airbus A220-300,12866.614413335454,268.05446694448864
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 737-600,10548.293844185471,295.47041580351464
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 767-800,12185.367305231839,214.9094762827485
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A200-100,10318.529147898262,254.77849747896943
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A220-300,9456.911536821226,197.0189903504422
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,14207.360011160594,397.9652664190643
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Boeing 767-800,16759.200013950744,295.57671982276446
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Airbus A200-100,13849.207028312854,341.95572909414454
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Airbus A220-300,12506.133342633828,260.54444463820477
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Boeing 737-600,12565.914776814245,351.98640831412456
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Boeing 767-800,14707.393471017807,259.38965557350633
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Airbus A200-100,12265.356363592693,302.84830527389363
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Airbus A220-300,11138.26231401187,232.04713154191396
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Boeing 737-600,10702.094345419131,299.7785530929729
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Boeing 767-800,12377.617931773913,218.3001398901925
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Airbus A200-100,10466.933140316705,258.4427935880668
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Airbus A220-300,9585.078621182609,199.68913794130435
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Boeing 737-600,11494.155828111183,321.9651492468119
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Boeing 767-800,13367.694785138981,235.7618127890473
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Airbus A200-100,11231.20299203711,277.3136541243731
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Airbus A220-300,10245.12985675932,213.4402053491525
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Boeing 737-600,21861.594173428126,612.3695846898636
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Boeing 767-800,26326.992716785164,464.32085920256026
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Airbus A200-100,21234.871570851705,524.3178165642396
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Airbus A220-300,18884.66181119011,393.430454399794
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Boeing 737-600,10153.987926195008,284.42543210630276
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Boeing 767-800,11692.484907743761,206.21666503957252
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Airbus A200-100,9938.058525275886,245.38416111792313
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Airbus A220-300,9128.323271829175,190.17340149644113
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Boeing 737-600,25248.843658824302,707.250522656143
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Boeing 767-800,30561.054573530382,538.9956714908357
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Airbus A200-100,24503.27019711117,605.0190172126215
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Airbus A220-300,21707.36971568692,452.2368690768108
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Boeing 737-600,10488.371414376312,293.7919163690844
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Boeing 767-800,12110.46426797039,213.58843506120618
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Airbus A200-100,10260.709259485917,253.35084591323252
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Airbus A220-300,9406.976178646928,195.97867038847767
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Boeing 737-600,8579.55034996764,240.32353921477986
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Boeing 767-800,9724.43793745955,171.50684193050355
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Airbus A200-100,8418.864372775794,207.87319438952576
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Airbus A220-300,7816.291958306367,162.83941579804932
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Boeing 737-600,13129.995765351863,367.7869962283435
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Boeing 767-800,15412.494706689831,271.82530346895646
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Airbus A200-100,12809.645036743028,316.2875317714328
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Airbus A220-300,11608.329804459887,241.840204259581
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Boeing 737-600,10011.038326032836,280.4212416255697
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Boeing 767-800,11513.797907541048,203.06521882788445
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Airbus A200-100,9800.124700558,241.97838766809878
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Airbus A220-300,9009.198605027364,187.69163760473677
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Boeing 737-600,6408.5109644628255,179.51011104937888
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Boeing 767-800,7010.638705578533,123.64442161514168
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Airbus A200-100,6324.001807815008,156.14819278555575
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Airbus A220-300,6007.092470385688,125.14775979970183
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,12217.385153520885,342.22367376809206
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 767-800,14271.731441901109,251.7060219030178
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,11929.055849888577,294.5445888861377
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A220-300,10847.820961267405,225.9962700264043
Dallas/Fort Worth International Airport,Denver International Airport,Boeing 737-600,11215.317455648756,314.15455057839654
Dallas/Fort Worth International Airport,Denver International Airport,Boeing 767-800,13019.146819560945,229.61458235557225
Dallas/Fort Worth International Airport,Denver International Airport,Airbus A200-100,10962.148422117221,270.67033141030174
Dallas/Fort Worth International Airport,Denver International Airport,Airbus A220-300,10012.764546373965,208.59926138279093
Dallas/Fort Worth International Airport,O'Hare International Airport,Boeing 737-600,13029.663403966113,364.9765659374262
Dallas/Fort Worth International Airport,O'Hare International Airport,Boeing 767-800,15287.079254957642,269.6133907399937
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A200-100,12712.83310909011,313.8971138046941
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A220-300,11524.719503305096,240.09832298552283
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 737-600,17865.86988263528,500.444534527599
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 767-800,21332.337353294104,376.23169935262973
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A200-100,17379.348132367377,429.119706972034
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A220-300,15554.891568862735,324.0602410179736
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Boeing 737-600,19634.57474308711,549.9880880416558
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Boeing 767-800,23543.218428858887,415.22431091461885
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Airbus A200-100,19085.99317315423,471.2590906951662
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Airbus A220-300,17028.812285905926,354.7669226230401
Dallas/Fort Worth International Airport,Harry Reid International Airport,Boeing 737-600,15846.900051278839,443.8907577389031
Dallas/Fort Worth International Airport,Harry Reid International Airport,Boeing 767-800,18808.62506409855,331.7217824356005
Dallas/Fort Worth International Airport,Harry Reid International Airport,Airbus A200-100,15431.219347725199,381.01776167222715
Dallas/Fort Worth International Airport,Harry Reid International Airport,Airbus A220-300,13872.416709399033,289.0086814458132
Dallas/Fort Worth International Airport,Orlando International Airport,Boeing 737-600,15069.972217360842,422.1280733154298
Dallas/Fort Worth International Airport,Orlando International Airport,Boeing 767-800,17837.465271701054,314.5937437689781
Dallas/Fort Worth International Airport,Orlando International Airport,Airbus A200-100,14681.552139558707,362.5074602360175
Dallas/Fort Worth International Airport,Orlando International Airport,Airbus A220-300,13224.9768478007,275.52035099584793
Dallas/Fort Worth International Airport,Miami International Airport,Boeing 737-600,16611.841377257686,465.3176856374703
Dallas/Fort Worth International Airport,Miami International Airport,Boeing 767-800,19764.80172157211,348.58556828169503
Dallas/Fort Worth International Airport,Miami International Airport,Airbus A200-100,16169.320627178471,399.24248462169066
Dallas/Fort Worth International Airport,Miami International Airport,Airbus A220-300,14509.867814381407,302.28891279961266
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Boeing 737-600,14513.348157500439,406.5363629551944
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Boeing 767-800,17141.68519687555,302.3224902447187
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Airbus A200-100,14144.458748465337,349.2458950238355
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Airbus A220-300,12761.1234645837,265.85673884549374
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Boeing 737-600,22657.56340427371,634.6656415762945
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Boeing 767-800,27321.95425534214,481.86868175206604
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Airbus A200-100,22002.912056755336,543.2817791791441
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Airbus A220-300,19547.969503561428,407.2493646575297
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Boeing 737-600,13742.625615891075,384.9474962434475
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Boeing 767-800,16178.282019863844,285.3312525549179
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Airbus A200-100,13400.779103052791,330.8834346432788
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Airbus A220-300,12118.85467990923,252.47613916477562
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Boeing 737-600,19420.42918511504,543.9896130284326
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Boeing 767-800,23275.5364813938,410.5032889134709
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Airbus A200-100,18879.36149440925,466.1570739360309
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Airbus A220-300,16850.357654262534,351.04911779713615
Dallas/Fort Worth International Airport,San Francisco International Airport,Boeing 737-600,20447.868792350695,572.7694339594033
Dallas/Fort Worth International Airport,San Francisco International Airport,Boeing 767-800,24559.83599043837,433.1540739054386
Dallas/Fort Worth International Airport,San Francisco International Airport,Airbus A200-100,19870.75058911032,490.6358170150697
Dallas/Fort Worth International Airport,San Francisco International Airport,Airbus A220-300,17706.557326958915,368.8866109783107
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Boeing 737-600,6522.384297275577,182.69984025982012
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Boeing 767-800,7152.980371594473,126.15485664187783
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Airbus A200-100,6433.87958509047,158.86122432322148
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Airbus A220-300,6101.986914396315,127.12472738325657
Dallas/Fort Worth International Airport,Logan International Airport,Boeing 737-600,21550.584684679805,603.6578343047565
Dallas/Fort Worth International Airport,Logan International Airport,Boeing 767-800,25938.230855849757,457.46438899205924
Dallas/Fort Worth International Airport,Logan International Airport,Airbus A200-100,20934.774695743672,516.9080171788561
Dallas/Fort Worth International Airport,Logan International Airport,Airbus A220-300,18625.48723723317,388.03098410902436
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 737-600,16583.976385926777,464.53715366741676
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 767-800,19729.970482408477,347.97126071267155
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A200-100,16142.43335484163,398.5786013541143
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A220-300,14486.646988272316,301.8051455890066
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,13605.661861415128,381.1109765102277
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Boeing 767-800,16007.07732676891,282.31176943155043
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Airbus A200-100,13268.621094347931,327.62027393451683
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Airbus A220-300,12004.71821784594,250.09829620512377
Dallas/Fort Worth International Airport,LaGuardia Airport,Boeing 737-600,19608.484176828963,549.257259855153
Dallas/Fort Worth International Airport,LaGuardia Airport,Boeing 767-800,23510.605221036207,414.64912206413067
Dallas/Fort Worth International Airport,LaGuardia Airport,Airbus A200-100,19060.818065361284,470.6374830953403
Dallas/Fort Worth International Airport,LaGuardia Airport,Airbus A220-300,17007.07014735747,354.31396140328064
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,Boeing 737-600,15099.769149250847,422.9627212675308
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,Boeing 767-800,17874.71143656356,315.25064262016866
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,Airbus A200-100,14710.30356506661,363.2173719769533
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,Airbus A220-300,13249.807624375706,276.0376588411605
Dallas/Fort Worth International Airport,Philadelphia International Airport,Boeing 737-600,18639.623453537217,522.1183040206504
Dallas/Fort Worth International Airport,Philadelphia International Airport,Boeing 767-800,22299.529316921526,393.2897586758647
Dallas/Fort Worth International Airport,Philadelphia International Airport,Airbus A200-100,18125.95245516749,447.55438160907386
Dallas/Fort Worth International Airport,Philadelphia International Airport,Airbus A220-300,16199.686211281014,337.4934627350211
Dallas/Fort Worth International Airport,Salt Lake City International Airport,Boeing 737-600,15117.281232816282,423.4532558211844
Dallas/Fort Worth International Airport,Salt Lake City International Airport,Boeing 767-800,17896.601541020354,315.6367114818405
Dallas/Fort Worth International Airport,Salt Lake City International Airport,Airbus A200-100,14727.201189559572,363.6345972730758
Dallas/Fort Worth International Airport,Salt Lake City International Airport,Airbus A220-300,13264.401027346903,276.3416880697271
