,Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Denver International Airport,O'Hare International Airport,Los Angeles International Airport,John F. Kennedy International Airport,Harry Reid International Airport,Orlando International Airport,Miami International Airport,Charlotte Douglas International Airport,Seattle-Tacoma International Airport,Phoenix Sky Harbor International Airport,Newark Liberty International Airport,San Francisco International Airport,George Bush Intercontinental Airport,Logan International Airport,Fort Lauderdale-Hollywood International Airport,Minneapolis-Saint Paul International Airport,LaGuardia Airport,Detroit Metropolitan Airport,Philadelphia International Airport,Salt Lake City International Airport,Ronald Reagan Washington National Airport,San Diego International Airport,Baltimore/Washington International Airport,Tampa International Airport,Austin-Bergstrom International Airport,Washington Dulles International Airport,Nashville International Airport,Paris Charles de Gaulle Airport
Hartsfield-Jackson Atlanta International Airport,-1,1176.3608058617876,1928.822399062748,977.7297073095807,3129.251789230786,1223.850160780651,2807.5085869426703,651.8755195420138,960.3894040025408,364.6695318857891,3508.803682676517,2551.6392425095214,1200.6606568736054,3438.9017022037688,1108.2951295270882,1523.1615618273804,937.421828020273,1461.2359067334896,1226.2546071689883,959.4391592734664,1072.826819999789,2556.978757134749,880.974915632673,3041.8808864404136,928.8436259934183,655.5861055465984,1307.0056925632107,860.5109472095155,344.7906906798478,7063.268322839994
Dallas/Fort Worth International Airport,1176.3608058617876,-1,1032.9096799060549,1292.6426003476756,1984.970342143723,2238.169514003848,1695.9444661735554,1584.7232653276358,1805.4497384753297,1505.0396783127615,2670.92583330529,1394.706790947073,2207.5134797489945,2354.5967287173407,361.0922409783824,2512.4561581955695,1801.4607224180986,1375.0997319973678,2234.434515665799,1588.988848724336,2095.7371371406402,1591.4957895464424,1917.5416594934804,1882.880611247715,1957.7052343080838,1495.016387115669,306.1037186555633,1885.2676370532415,1015.9772525830078,7952.894560465194
Denver International Airport,1928.822399062748,1032.9096799060549,-1,1427.7391909649689,1386.1700660900487,2612.9869477645434,1009.5273958502144,2489.339501358944,2752.4404355886204,2150.330682439412,1646.998893860566,968.7640172754103,2579.003632238512,1554.5734028112036,1387.9578230685693,2818.9696086137687,2742.1279134813035,1094.9426423659584,2603.0404466669916,1804.8488780327302,2503.3542996448055,628.7348588856445,2372.0133383734797,1373.0907234936665,2396.5522873467385,2425.3436642303923,1249.9090520441305,2334.264046366618,1629.6073646987622,7841.317619920603
O'Hare International Airport,977.7297073095807,1292.6426003476756,1427.7391909649689,-1,2804.9658312893193,1189.3455662433762,2433.645834007288,1622.651490002096,1932.6772042873886,965.6760078972753,2764.4273103642436,2315.5323823334197,1155.3560054987809,2967.3027535233286,1491.4479223032981,1392.5744749179564,1907.7427056041631,536.8407068186253,1178.6199408908458,377.2167919984782,1089.664636961525,2008.672268341802,983.9429637644561,2771.7353687994528,999.3742506236279,1633.2932790956763,1576.028511943712,946.2691539979811,660.4659647864701,6671.031779391582
Los Angeles International Airport,3129.251789230786,1984.970342143723,1386.1700660900487,2804.9658312893193,-1,3978.583010531021,380.8848174926924,3566.433650923503,3767.8841751463374,3415.9043255678816,1538.3988029383204,595.2977906611535,3944.79106774856,544.0051633460762,2217.362797640405,4197.373280514664,3767.675084428394,2470.811849018974,3969.6899310688327,3181.708910260118,3860.448438659964,949.8503700403774,3714.8912260996494,-1,3744.123620236432,3470.640128062103,1996.9640913259243,3677.885130051912,2889.6255714534072,9111.469102872596
John F. Kennedy International Airport,1223.850160780651,2238.169514003848,2612.9869477645434,1189.3455662433762,3978.583010531021,-1,3612.7695411296168,1524.0764907680611,1759.0164478119402,872.1352140495271,3890.6657629332617,3461.732658522712,-1,4156.63727984208,2280.0428215983566,300.016097404474,1725.4555552438883,1652.234595691325,-1,817.3712635034466,-1,3197.6233812316254,343.0814544334883,3933.244887551419,295.79095818108857,1621.4716735652898,2448.024858219406,366.67925252761574,1231.253535105565,5839.434767016725
Harry Reid International Airport,2807.5085869426703,1695.9444661735554,1009.5273958502144,2433.645834007288,380.8848174926924,3612.7695411296168,-1,3279.5228421958177,3498.6630905778375,3079.129026015526,1396.420460755568,411.3451884352283,3578.879893253477,666.3184266738285,1964.3111289067676,3826.121124818567,3495.8319523098835,2090.388610702076,3603.461617299384,2810.7983984310085,3497.664986023363,591.754321664953,3356.702154065819,417.9118862021366,3384.447809734648,3190.9272986391697,1753.089063063366,3319.3981533378865,2551.336495202037,8745.056174081537
Orlando International Airport,651.8755195420138,1584.7232653276358,2489.339501358944,1622.651490002096,3566.433650923503,1524.0764907680611,3279.5228421958177,-1,310.0310132388414,756.6110332009054,4109.480233937167,2972.8634310899824,1513.3784107009767,3934.081281607547,1373.5625681246513,1808.4505895014233,285.7207041584516,2113.0951551655326,1533.138659748001,1545.9692854136983,1390.6902749470596,3107.4920256240957,1225.8897733636352,3456.317832253168,1271.1982648606727,-1,1598.4434756579456,1224.7019849741607,994.4937019155925,7246.8554497717705
Miami International Airport,960.3894040025408,1805.4497384753297,2752.4404355886204,1932.6772042873886,3767.8841751463374,1759.0164478119402,3498.6630905778375,310.0310132388414,-1,1050.5134046289058,4384.959674833575,3172.5880638931635,1752.3870659034367,4159.667248781909,1552.3436931543754,2029.8974667981624,-1,2420.970042975008,1769.7500637646392,1849.17529289507,1635.6375613065745,3362.5012615483906,1484.7103356252903,3648.454570956243,1527.4571150496452,330.0184872880272,1775.704751493295,1488.2514823349911,1301.1755049495148,7378.618576832312
Charlotte Douglas International Airport,364.6695318857891,1505.0396783127615,2150.330682439412,965.6760078972753,3415.9043255678816,872.1352140495271,3079.129026015526,756.6110332009054,1050.5134046289058,-1,3664.0166547140443,2850.8582643212785,851.5200853294488,3691.006558364404,1467.6450036441204,1172.1177860842542,1020.3425157599507,1497.0831100112832,876.1206620034972,806.4920589574479,722.5322274869586,2776.815862230546,533.3097260782862,3339.4957748838597,581.8274720369769,819.4651774338315,1660.0824626045282,518.7557850602727,527.8574158365001,6708.48876481217
