,Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Denver International Airport,O'Hare International Airport,Los Angeles International Airport,John F. Kennedy International Airport,Harry Reid International Airport,Orlando International Airport,Miami International Airport,Charlotte Douglas International Airport,Seattle-Tacoma International Airport,Phoenix Sky Harbor International Airport,Newark Liberty International Airport,San Francisco International Airport,George Bush Intercontinental Airport,Logan International Airport,Fort Lauderdale-Hollywood International Airport,Minneapolis-Saint Paul International Airport,LaGuardia Airport,Detroit Metropolitan Airport,Philadelphia International Airport,Salt Lake City International Airport,Ronald Reagan Washington National Airport,San Diego International Airport,Baltimore/Washington International Airport,Tampa International Airport,Austin-Bergstrom International Airport,Washington Dulles International Airport,Nashville International Airport,Midway International Airport
Hartsfield-Jackson Atlanta International Airport,0.0,1176.360805123707,1928.822395152849,977.7297071262102,3129.2517931381835,1223.850160703693,2807.508586636287,651.875519662792,960.3894045902362,364.66953205139356,3508.803684413705,2551.6392461065325,1200.6606569620972,3438.901698186316,1108.2951289841712,1523.1615617564687,937.421828820098,1461.2359061412055,1226.2546071796057,959.4391589171391,1072.8268200866942,2556.978760286531,880.9749155397081,3041.880886370791,928.8436258445294,655.586106303448,1307.005692036172,860.510947550226,344.79069002757285,953.1243200625021
Dallas/Fort Worth International Airport,1176.360805123707,0.0,1032.909677808317,1292.6426002235496,1984.9703469099923,2238.169513651717,1695.9444667834716,1584.7232650074832,1805.4497385079385,1505.0396777135313,2670.925835634459,1394.7067953383987,2207.5134793678967,2354.5967255591568,361.09224130782565,2512.4561578102043,1801.4607221694805,1375.099731840945,2234.4345153577156,1588.9888485396516,2095.737136664705,1591.495793064895,1917.541659190587,1882.8806119657384,1957.705233853848,1495.016386827467,306.1037184460845,1885.2676367933439,1015.9772524116147,1285.357556332431
Denver International Airport,1928.822395152849,1032.909677808317,0.0,1427.7391873389197,1386.1700731171168,2612.9869442839017,1009.527399133575,2489.339498040548,2752.440432802921,2150.330678408709,1646.9988987386816,968.7640227390814,2579.0036285061824,1554.573402914348,1387.9578214274168,2818.9696050898106,2742.1279105400363,1094.9426392994617,2603.0404431670454,1804.8488746570035,2503.3542957344025,628.7348660165383,2372.0133349692464,1373.0907269463846,2396.5522837173044,2425.3436612524065,1249.9090501305068,2334.2640425825944,1629.6073613823132,1439.4177529805538
O'Hare International Airport,977.7297071262102,1292.6426002235496,1427.7391873389197,0.0,2804.9658350575805,1189.3455664625142,2433.645833819637,1622.6514898509868,1932.677204623789,965.676007502377,2764.427312421379,2315.5323858440966,1155.3560054353645,2967.3027499825844,1491.4479225446073,1392.57447497703,1907.742706208627,536.8407064785558,1178.6199410750037,377.2167922368103,1089.6646367334138,2008.6722718234705,983.942964199952,2771.7353690378186,999.3742507942595,1633.293279670515,1576.0285117526616,946.2691538676612,660.4659651096714,25.154012217421386
Los Angeles International Airport,3129.2517931381835,1984.9703469099923,1386.1700731171168,2804.9658350575805,0.0,3978.583014562076,380.88482106228463,3566.4336554011693,3767.884179967846,3415.904329454832,1538.3988026541986,595.2977911150913,3944.791071565001,544.0051582109608,2217.362802591583,4197.373284349891,3767.6750888929046,2470.8118524903084,3969.689935082777,3181.7089142644236,3860.4484423849226,949.8503701330171,3714.891230331534,175.67189287233415,3744.1236242383284,3470.6401325074203,1996.9640958032398,3677.8851340078804,2889.6255758996335,2814.741397508922
John F. Kennedy International Airport,1223.850160703693,2238.169513651717,2612.9869442839017,1189.3455664625142,3978.583014562076,0.0,3612.7695411334184,1524.0764899777446,1759.016447355552,872.1352136939639,3890.665765311182,3461.732662311127,34.00330976470272,4156.637276516931,2280.042821347317,300.01609743040666,1725.4555554469648,1652.2345957512534,16.73926923500026,817.371263456173,151.13486706030068,3197.623384935201,343.0814544360566,3933.2448879149892,295.7909582486633,1621.4716737346841,2448.024857884722,366.6792521949174,1231.2535349086615,1175.6025263082274
Harry Reid International Airport,2807.508586636287,1695.9444667834716,1009.527399133575,2433.645833819637,380.88482106228463,3612.7695411334184,0.0,3279.522842458224,3498.6630912484575,3079.129025690444,1396.420461279746,411.34518643484915,3578.8798930287776,666.318422910755,1964.3111298076838,3826.1211246911,3495.8319526711175,2090.3886105093957,3603.4616172859187,2810.798398477521,3497.6649856717113,591.7543193784486,3356.702154213206,417.91188685124973,3384.4478096565726,3190.927298960769,1753.0890634564764,3319.3981531766494,2551.336495481532,2444.203382662154
Orlando International Airport,651.875519662792,1584.7232650074832,2489.339498040548,1622.6514898509868,3566.4336554011693,1524.0764899777446,3279.522842458224,0.0,310.0310137264128,756.6110332334548,4109.480235986626,2972.8634351699616,1513.3784102927407,3934.081278080512,1373.5625677873904,1808.4505887872022,285.7207048667747,2113.095154698186,1533.138659097827,1545.9692848352286,1390.6902746327626,3107.4920290693863,1225.8897724916455,3456.317832694934,1271.1982640732815,129.6053607488079,1598.4434756588448,1224.7019849245542,994.4937014375166,1597.7152042659004
Miami International Airport,960.3894045902362,1805.4497385079385,2752.440432802921,1932.677204623789,3767.884179967846,1759.016447355552,3498.6630912484575,310.0310137264128,0.0,1050.513405173894,4384.959677314866,3172.5880682624133,1752.3870658846733,4159.66724566521,1552.3436930404753,2029.89746640251,33.65120922823797,2420.9700429925447,1769.7500634601743,1849.1752927891794,1635.6375614177264,3362.501265342788,1484.7103351294652,3648.4545717269484,1527.457114662087,330.01848735215856,1775.704751810347,1488.251482725191,1301.175504950525,1907.7438137614006
Charlotte Douglas International Airport,364.66953205139356,1505.0396777135313,2150.330678408709,965.676007502377,3415.904329454832,872.1352136939639,3079.129025690444,756.6110332334548,1050.513405173894,0.0,3664.0166564018305,2850.85826794763,851.5200851826226,3691.006554371468,1467.6450032855082,1172.1177857601745,1020.3425167673258,1497.0831092660878,876.1206617420511,806.4920582164029,722.5322273596437,2776.8158654206295,533.3097256305813,3339.495774870943,581.8274715791594,819.4651783233043,1660.0824622161224,518.7557851673392,527.8574152222843,940.9037466470605
