source airport,destination airport,company flight demand
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,35
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,14
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,44
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,85
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,31
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,10
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,12
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,14
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,12
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,19
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,22
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,31
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,33
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,33
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,23
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,14
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,17
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,31
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,20
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,29
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,6
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,10
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,15
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,10
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,15
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,11
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,10
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,10
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,36
Dallas/Fort Worth International Airport,Denver International Airport,17
Dallas/Fort Worth International Airport,O'Hare International Airport,56
Dallas/Fort Worth International Airport,Los Angeles International Airport,106
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,39
Dallas/Fort Worth International Airport,Harry Reid International Airport,13
Dallas/Fort Worth International Airport,Orlando International Airport,16
Dallas/Fort Worth International Airport,Miami International Airport,18
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,15
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,23
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,28
Dallas/Fort Worth International Airport,Newark Liberty International Airport,39
Dallas/Fort Worth International Airport,San Francisco International Airport,41
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,41
Dallas/Fort Worth International Airport,Logan International Airport,29
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,18
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,21
Dallas/Fort Worth International Airport,LaGuardia Airport,39
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,25
Dallas/Fort Worth International Airport,Philadelphia International Airport,36
Dallas/Fort Worth International Airport,Salt Lake City International Airport,7
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,12
Dallas/Fort Worth International Airport,San Diego International Airport,19
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,12
Dallas/Fort Worth International Airport,Tampa International Airport,18
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,14
Dallas/Fort Worth International Airport,Washington Dulles International Airport,12
Dallas/Fort Worth International Airport,Nashville International Airport,12
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,13
Denver International Airport,Dallas/Fort Worth International Airport,17
Denver International Airport,O'Hare International Airport,21
Denver International Airport,Los Angeles International Airport,40
Denver International Airport,John F. Kennedy International Airport,15
Denver International Airport,Harry Reid International Airport,5
Denver International Airport,Orlando International Airport,6
Denver International Airport,Miami International Airport,7
Denver International Airport,Charlotte Douglas International Airport,6
Denver International Airport,Seattle-Tacoma International Airport,9
Denver International Airport,Phoenix Sky Harbor International Airport,11
Denver International Airport,Newark Liberty International Airport,15
Denver International Airport,San Francisco International Airport,15
Denver International Airport,George Bush Intercontinental Airport,15
Denver International Airport,Logan International Airport,11
Denver International Airport,Fort Lauderdale-Hollywood International Airport,7
Denver International Airport,Minneapolis-Saint Paul International Airport,8
Denver International Airport,LaGuardia Airport,15
Denver International Airport,Detroit Metropolitan Airport,9
