source airport,destination airport,Fuel for Boeing 737-600 (Gallons),Fuel for Boeing 767-800 (Gallons),Fuel for Airbus A200-100 (Gallons),Fuel for Airbus A220-300 (Gallons),Fuel for Boeing 747-400 (Gallons)
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,1322.2727320050656,1616.1111168950802,1212.0833376713101,1101.8939433375544,3305.681830012664
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,2160.70076764037,2640.8564937826745,1980.6423703370058,1800.5839730336413,5401.751919100924
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,1099.9897877651001,1344.4319628240112,1008.3239721180084,916.6581564709167,2749.97446941275
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,3486.376993063819,4261.1274359668905,3195.845576975168,2905.3141608865158,8715.942482659548
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,1390.5618195080483,1699.5755571765037,1274.6816678823777,1158.801516256707,3476.404548770121
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,3132.4996090532322,3828.610633287284,2871.457974965463,2610.4163408776935,7831.249022633081
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,738.7809217837997,902.9544599579774,677.2158449684831,615.6507681531664,1846.9523044594991
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,1089.9284679551383,1332.1347941673914,999.1010956255435,908.2737232959485,2724.821169887846
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,412.7542107558177,504.477368701555,378.35802652616627,343.9618422965147,1031.8855268895443
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,3902.4857365058956,4769.704789062762,3577.2785917970714,3252.0714470882463,9756.214341264738
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,2850.3251238228218,3483.73070689456,2612.7980301709204,2375.270936519018,7125.812809557055
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,1364.0721482254846,1667.1992922755926,1250.3994692066944,1136.7267901879038,3410.1803705637117
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,3825.960949983571,4676.174494424365,3507.1308708182737,3188.3007916529755,9564.902374958927
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,1246.1472936702432,1523.0689144858532,1142.3016858643898,1038.456078058536,3115.3682341756084
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,1732.9590476175108,2118.06105819918,1588.5457936493851,1444.1325396812588,4332.397619043777
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,1063.7537063542766,1300.1434188774492,975.1075641580869,886.461421961897,2659.384265885691
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,1640.370021662793,2004.896693143414,1503.6725198575605,1366.9750180523274,4100.925054156983
