source airport,destination airport,airplane type,total Cost,break even cost per ticket, profit/loss per flight, percent full
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,12183.116150037216,341.26375770412375,-1262.6759035052564,0.2689075630252101
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Boeing 767-800,14228.895187546523,250.95053240822793,-6198.478150483229,0.1693121693121693
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Airbus A200-100,11895.989267579771,293.7281300636981,-2496.6891055414326,0.23703703703703705
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Airbus A220-300,10819.263458364348,225.40132204925726,-3606.421152788116,0.2
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Boeing 737-600,17371.874741956024,486.6071356290203,-11532.58911440778,0.10084033613445378
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Boeing 767-800,20714.843427445034,365.34115392319285,-16330.749580366719,0.06349206349206349
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Airbus A200-100,16902.686154518975,417.3502754202216,-11894.482849476317,0.08888888888888889
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Airbus A220-300,15143.22895163002,315.4839364922921,-11357.421713722515,0.075
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Boeing 737-600,10807.479258448564,302.7305114411363,1301.7411991968875,0.33613445378151263
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Boeing 767-800,12509.349073060706,220.62344044198778,-3684.411455381194,0.21164021164021163
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Airbus A200-100,10568.620337099492,260.9535885703578,-130.4767942851795,0.2962962962962963
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Airbus A220-300,9672.89938204047,201.51873712584313,-1612.149897006745,0.25
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Boeing 737-600,25576.05400649632,716.4160786133424,29587.984046731042,0.6470588235294118
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Boeing 767-800,30970.067508120403,546.209303494187,11088.048860931995,0.4074074074074074
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Airbus A200-100,24818.999479952592,612.814801974138,22367.74027205604,0.5703703703703704
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Airbus A220-300,21980.0450054136,457.91760427945,13279.61052410405,0.48125
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Boeing 737-600,12605.735116072752,353.10182397962893,-2718.8840446431423,0.23529411764705882
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Boeing 767-800,14757.168895090941,260.26752901394957,-7469.678082700353,0.14814814814814814
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Airbus A200-100,12303.779497964937,303.79702464110954,-3797.46280801387,0.2074074074074074
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Airbus A220-300,11171.445930060627,232.73845687626306,-4654.769137525262,0.175
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Boeing 737-600,23386.021900306852,655.070641465178,-16835.315485655072,0.08403361344537816
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Boeing 767-800,28232.527375383568,497.92817240535396,-23253.245651330028,0.05291005291005291
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Airbus A200-100,22705.810605559247,560.6372989026975,-17099.437616532272,0.07407407407407407
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Airbus A220-300,20155.01825025571,419.896213546994,-15956.056114785772,0.0625
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Boeing 737-600,8572.074993349583,240.11414547197714,-5930.8193931578335,0.09243697478991597
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Boeing 767-800,9715.093741686978,171.34204129959397,-7830.331287391445,0.0582010582010582
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Airbus A200-100,8411.651309372404,207.6950940585779,-6127.005274728048,0.08148148148148149
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Airbus A220-300,7810.062494457985,162.709635301208,-6020.256506144697,0.06875
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Boeing 737-600,10745.213020451854,300.9863591162985,-6832.390351939974,0.1092436974789916
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Boeing 767-800,12431.51627556482,219.25072796410618,-9581.256812031439,0.06878306878306878
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Airbus A200-100,10508.53887938337,259.4700957872437,-7135.427634149202,0.0962962962962963
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Airbus A220-300,9621.010850376544,200.43772604951133,-7015.320411732897,0.08125
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Boeing 737-600,6554.401649733829,183.59668486649383,-4534.838116202397,0.09243697478991597
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Boeing 767-800,7193.0020621672875,126.86070656379697,-5797.534289965521,0.0582010582010582
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Airbus A200-100,6464.773521672994,159.6240375721727,-4708.9091083790945,0.08148148148148149
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Airbus A220-300,6128.668041444858,127.68058419676788,-4724.181615280411,0.06875
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Boeing 737-600,28151.215768676182,788.5494613074562,-14745.874926449425,0.14285714285714285
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Boeing 767-800,34189.019710845234,602.9809472812211,-23938.343607064475,0.08994708994708994
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Airbus A200-100,27303.804689073513,674.1680170141608,-15842.94839983278,0.1259259259259259
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Airbus A220-300,24126.013140563486,502.62527376173927,-15581.383486613919,0.10625
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Boeing 737-600,21639.73572853048,606.155062423823,-9516.63448005402,0.16806722689075632
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Boeing 767-800,26049.6696606631,459.42980001169497,-16861.073660429203,0.10582010582010581
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Airbus A200-100,21020.79763279257,519.032040315866,-10640.156826475253,0.14814814814814814
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Airbus A220-300,18699.7797737754,389.5787452869875,-10908.204868035651,0.125
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Boeing 737-600,12441.79915064388,348.5097801300807,-2683.5253070016206,0.23529411764705882
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Boeing 767-800,14552.24893830485,256.653420428657,-7365.9531663024545,0.14814814814814814
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Airbus A200-100,12145.59567167392,299.89125115244246,-3748.6406394055302,0.2074074074074074
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Airbus A220-300,11034.832625536568,229.89234636534516,-4597.846927306904,0.175
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Boeing 737-600,27677.628738321706,775.283718160272,-4419.117193513546,0.25210084033613445
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Boeing 767-800,33597.035922902134,592.5403161005668,-15820.826439885132,0.15873015873015872
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Airbus A200-100,26846.834747503406,662.884808580331,-6960.290490093477,0.2222222222222222
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Airbus A220-300,23731.357281934757,494.4032767069741,-8899.258980725534,0.1875
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Boeing 737-600,11712.000555812017,328.06724245972043,-1869.9832820204047,0.25210084033613445
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Boeing 767-800,13640.000694765022,240.5643861510586,-6423.069110233263,0.15873015873015872
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Airbus A200-100,11441.40404508177,282.5038035822659,-2966.289937613794,0.2222222222222222
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Airbus A220-300,10426.667129843347,217.2222318717364,-3910.0001736912545,0.1875
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Boeing 737-600,14724.720268872366,412.45715038858174,-6063.120110712151,0.17647058823529413
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Boeing 767-800,17405.90033609046,306.98236924321805,-10959.27058198288,0.1111111111111111
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Airbus A200-100,14348.41429452597,354.28183443274,-6908.495771438429,0.15555555555555556
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Airbus A220-300,12937.266890726973,269.5263935568119,-7277.212626033923,0.13125
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 737-600,10583.225928685551,296.4489055654216,-6729.39015633507,0.1092436974789916
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 767-800,12229.032410856938,215.67958396573084,-9425.197819302437,0.06878306878306878
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A200-100,10352.235545222902,255.61075420303462,-7029.295740583452,0.0962962962962963
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A220-300,9486.021607237959,197.6254501507908,-6916.890755277678,0.08125
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,14151.716882152477,396.4066353544112,-8205.61735183631,0.12605042016806722
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Boeing 767-800,16689.646102690596,294.35001944780595,-12274.395810973507,0.07936507936507936
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Airbus A200-100,13795.516289796251,340.630031846821,-8686.065812093937,0.1111111111111111
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Airbus A220-300,12459.764068460398,259.57841809292495,-8566.087797066524,0.09375
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Boeing 737-600,12622.73505133177,353.57801264234655,-2722.550697346067,0.23529411764705882
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Boeing 767-800,14778.418814164712,260.6423071281254,-7480.4342145772,0.14814814814814814
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Airbus A200-100,12320.182944267499,304.2020480066049,-3802.525600082561,0.2074074074074074
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Airbus A220-300,11185.612542776475,233.03359464117656,-4660.6718928235305,0.175
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Boeing 737-600,10738.51042049756,300.79861121841907,-5324.135418566017,0.15126050420168066
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Boeing 767-800,12423.138025621949,219.1029634148492,-8479.284684154663,0.09523809523809523
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Airbus A200-100,10502.071458374838,259.31040637962565,-5834.4841435415765,0.13333333333333333
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Airbus A220-300,9615.425350414633,200.32136146697152,-6009.640844009145,0.1125
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Boeing 737-600,11538.696558860844,323.2127887636091,-3135.1640510070065,0.2184873949579832
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Boeing 767-800,13423.370698576056,236.7437512976377,-7268.033164837477,0.13756613756613756
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Airbus A200-100,11274.180890128886,278.3748367933058,-4036.435133502935,0.1925925925925926
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Airbus A220-300,10282.247132384036,214.21348192466743,-4712.696602342683,0.1625
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Boeing 737-600,21676.219472905574,607.1770160477753,-18640.334392666697,0.04201680672268908
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Boeing 767-800,26095.274341131964,460.2341153638795,-23794.103764312567,0.026455026455026454
