source airport,destination airport,airplane type,total Cost,break even cost per ticket, profit per flight, percent full
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Boeing 737-600,10807.479258448564,302.7305114411363,1301.7411991968875,0.33613445378151263
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Boeing 737-600,25576.05400649632,716.4160786133424,29587.984046731042,0.6470588235294118
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Boeing 767-800,30970.067508120403,546.209303494187,11088.048860931995,0.4074074074074074
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Airbus A200-100,24818.999479952592,612.814801974138,22367.74027205604,0.5703703703703704
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Airbus A220-300,21980.0450054136,457.91760427945,13279.61052410405,0.48125
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,54962.2601833037,1539.559108776014,29713.49079937707,0.46218487394957986
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,53174.11070318779,1312.9410050169824,19037.64457274624,0.4074074074074074
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,46468.55015275309,968.0947948490226,6776.663563943155,0.34375
Dallas/Fort Worth International Airport,O'Hare International Airport,Boeing 737-600,13092.255401240422,366.72984317200064,5610.96660053161,0.42857142857142855
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A200-100,12773.228895933742,315.3883678008331,3311.577861908747,0.37777777777777777
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A220-300,11576.879501033687,241.1849896048685,723.5549688146057,0.31875
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 737-600,17757.62869748674,497.4125685570516,30491.390452547268,0.8151260504201681
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 767-800,21197.035871858425,373.84542983877293,15065.970822502546,0.5132275132275133
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A200-100,17274.904883539835,426.54086132197125,24099.558664691373,0.7185185185185186
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A220-300,15464.690581238949,322.18105377581145,15786.871635014762,0.60625
Dallas/Fort Worth International Airport,San Francisco International Airport,Boeing 737-600,20292.134412836953,568.4071264099988,738.9292643330009,0.31092436974789917
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Boeing 737-600,6529.30321630585,182.89364751557005,420.6553892858119,0.31932773109243695
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,61603.24554785403,1725.5811077830263,57461.850889174784,0.5798319327731093
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,76004.05693481753,1340.45955793329,16487.652562579475,0.36507936507936506
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,59582.07903740301,1471.1624453679756,41928.1296929873,0.5111111111111111
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,52002.70462321169,1083.3896796502436,22751.183272655115,0.43125
Denver International Airport,Los Angeles International Airport,Boeing 737-600,13633.47664342321,381.89010205667256,114.56703061700318,0.3025210084033613
O'Hare International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,10867.533701902325,304.41270873675984,1613.3873563048292,0.3445378151260504
O'Hare International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,10626.567607098736,262.3843853604626,131.19219268023153,0.3037037037037037
O'Hare International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,12987.28558099861,363.7895120727903,5565.979534713693,0.42857142857142855
O'Hare International Airport,Dallas/Fort Worth International Airport,Airbus A200-100,12671.942227279362,312.88746240195957,3285.3183552205755,0.37777777777777777
O'Hare International Airport,Dallas/Fort Worth International Airport,Airbus A220-300,11489.404650832177,239.36259689233702,718.0877906770111,0.31875
O'Hare International Airport,Los Angeles International Airport,Boeing 737-600,23368.688045759216,654.5850993209865,57799.86427004311,1.0420168067226891
O'Hare International Airport,Los Angeles International Airport,Boeing 767-800,28210.860057199017,497.5460327548328,33484.84800440025,0.656084656084656
O'Hare International Airport,Los Angeles International Airport,Airbus A200-100,22689.08495643433,560.2243199119588,46778.73071264856,0.9185185185185185
O'Hare International Airport,Los Angeles International Airport,Airbus A220-300,20140.57337146601,419.59527857220854,31889.241171487847,0.775
O'Hare International Airport,John F. Kennedy International Airport,Boeing 737-600,12361.820470176795,346.26948095733326,3220.3061729032015,0.37815126050420167
O'Hare International Airport,John F. Kennedy International Airport,Airbus A200-100,12068.423260696909,297.98575952338047,1340.9359178552113,0.3333333333333333
O'Hare International Airport,Newark Liberty International Airport,Boeing 737-600,12121.61974984983,339.5411694635807,3157.7328760113014,0.37815126050420167
O'Hare International Airport,Newark Liberty International Airport,Airbus A200-100,11836.650635820011,292.2629786622225,1315.1834039800015,0.3333333333333333
O'Hare International Airport,San Francisco International Airport,Boeing 737-600,24474.51696569646,685.5606993192287,8432.396601626515,0.40336134453781514
O'Hare International Airport,San Francisco International Airport,Airbus A200-100,23756.112861636942,586.5706879416529,4399.280159562393,0.35555555555555557
O'Hare International Airport,George Bush Intercontinental Airport,Boeing 737-600,14360.194965564495,402.24635757883743,4947.630198219702,0.40336134453781514
O'Hare International Airport,George Bush Intercontinental Airport,Airbus A200-100,13996.679352737674,345.5970210552512,2591.9776579143854,0.35555555555555557
O'Hare International Airport,LaGuardia Airport,Boeing 737-600,12286.01574437512,344.14609928221626,3200.5587233246115,0.37815126050420167
O'Hare International Airport,LaGuardia Airport,Airbus A200-100,11995.278349835644,296.1797123416208,1332.8087055372926,0.3333333333333333
O'Hare International Airport,Philadelphia International Airport,Boeing 737-600,11657.591306135679,326.5431738413356,2057.221995200416,0.35294117647058826
O'Hare International Airport,Philadelphia International Airport,Airbus A200-100,11388.903891885304,281.20750350334083,421.81125525501193,0.3111111111111111
O'Hare International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,52050.040323592824,1457.9843227897152,76252.58008190211,0.7394957983193278
O'Hare International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,64062.55040449104,1129.8509771515176,35364.335584842505,0.4656084656084656
O'Hare International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,50364.07399644923,1243.557382628376,59068.97567484786,0.6518518518518519
O'Hare International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,44041.700269660694,917.5354222845978,36701.41689138391,0.55
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,26191.214650691676,733.6474692070499,35435.17276270052,0.7058823529411765
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 767-800,31739.0183133646,559.7710460910864,15281.749558286661,0.4444444444444444
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,25412.575540141093,627.4710009911381,27294.98854311451,0.6222222222222222
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A220-300,22492.6788755764,468.59747657450833,16869.509156682303,0.525
Los Angeles International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,18005.151702651732,504.34598606867604,34951.17683455925,0.8823529411764706
Los Angeles International Airport,Dallas/Fort Worth International Airport,Boeing 767-800,21506.439628314663,379.3022862136625,18320.3004241199,0.5555555555555556
Los Angeles International Airport,Dallas/Fort Worth International Airport,Airbus A200-100,17513.742870979742,432.43809557974674,27892.25716489367,0.7777777777777778
Los Angeles International Airport,Dallas/Fort Worth International Airport,Airbus A220-300,15670.959752209776,326.478328171037,18609.264705749112,0.65625
Los Angeles International Airport,Denver International Airport,Boeing 737-600,13754.185894920649,385.2713135832115,2041.9379619910233,0.3445378151260504
Los Angeles International Airport,Denver International Airport,Airbus A200-100,13411.93375825677,331.1588582285622,165.57942911428108,0.3037037037037037
Los Angeles International Airport,O'Hare International Airport,Boeing 737-600,23862.956251694344,668.4301471062843,64369.823166335176,1.1092436974789917
Los Angeles International Airport,O'Hare International Airport,Boeing 767-800,28828.695314617933,508.4425981414098,38285.727640048164,0.6984126984126984
Los Angeles International Airport,O'Hare International Airport,Airbus A200-100,23166.010418301565,572.000257242014,52338.02353764427,0.9777777777777777
Los Angeles International Airport,O'Hare International Airport,Airbus A220-300,20552.463543078622,428.17632381413796,35966.81120038759,0.825
Los Angeles International Airport,John F. Kennedy International Airport,Boeing 737-600,32320.422060473295,905.3339512737618,50970.3014567128,0.773109243697479
Los Angeles International Airport,John F. Kennedy International Airport,Boeing 767-800,39400.52757559162,694.8946662361839,24529.781718137296,0.48677248677248675
Los Angeles International Airport,John F. Kennedy International Airport,Airbus A200-100,31326.72304080757,773.4993343409277,39835.21571855778,0.6814814814814815
Los Angeles International Airport,John F. Kennedy International Airport,Airbus A220-300,27600.35171706108,575.0073274387724,25300.322407305983,0.575
Los Angeles International Airport,Orlando International Airport,Boeing 737-600,29340.482297227107,821.8622492220479,1068.420923988666,0.31092436974789917
Los Angeles International Airport,Miami International Airport,Boeing 737-600,30795.68517406217,862.6242345675679,5434.532677775678,0.35294117647058826
Los Angeles International Airport,Miami International Airport,Airbus A200-100,29855.48569427052,737.1724862782844,1105.7587294174264,0.3111111111111111
Los Angeles International Airport,Charlotte Douglas International Airport,Boeing 737-600,28254.779265422923,791.4503995916787,237.43511987750753,0.3025210084033613
Los Angeles International Airport,Seattle-Tacoma International Airport,Boeing 737-600,14684.065829394769,411.3183705712821,7938.444552025749,0.46218487394957986
