source airport,destination airport,airplane type,flight_hours,total Cost,break even cost per ticket, profit/loss per flight,profit/loss per hour, percent full
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Boeing 737-600,1.0045778768655576,10807.479258448564,302.7305114411363,1301.7411991968875,1295.809144492139,0.33613445378151263
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Boeing 737-600,3.183972466472474,25576.05400649632,716.4160786133424,29587.984046731042,9292.788916454292,0.6470588235294118
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Boeing 767-800,3.183972466472474,30970.067508120403,546.209303494187,11088.048860931995,3482.4575204999983,0.4074074074074074
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Airbus A200-100,3.3904058461668427,24818.999479952592,612.814801974138,22367.74027205604,6597.363645223999,0.5703703703703704
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Airbus A220-300,3.3904058461668427,21980.0450054136,457.91760427945,13279.61052410405,3916.820323772695,0.48125
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,7.5204869807977826,54962.2601833037,1539.559108776014,29713.49079937707,3951.0062147897,0.46218487394957986
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,8.008078993838518,53174.11070318779,1312.9410050169824,19037.64457274624,2377.30479274667,0.4074074074074074
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,8.008078993838518,46468.55015275309,968.0947948490226,6776.663563943155,846.228361278301,0.34375
Dallas/Fort Worth International Airport,O'Hare International Airport,Boeing 737-600,1.341741675608003,13092.255401240422,366.72984317200064,5610.96660053161,4181.853111172858,0.42857142857142855
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A200-100,1.428733718312258,12773.228895933742,315.3883678008331,3311.577861908747,2317.841190043912,0.37777777777777777
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A220-300,1.428733718312258,11576.879501033687,241.1849896048685,723.5549688146057,506.43094618732067,0.31875
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 737-600,2.0302095537747746,17757.62869748674,497.4125685570516,30491.390452547268,15018.839013861665,0.8151260504201681
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 767-800,2.0302095537747746,21197.035871858425,373.84542983877293,15065.970822502546,7420.894456185738,0.5132275132275133
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A200-100,2.161838524843689,17274.904883539835,426.54086132197125,24099.558664691373,11147.714497517285,0.7185185185185186
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A220-300,2.161838524843689,15464.690581238949,322.18105377581145,15786.871635014762,7302.5211890681,0.60625
Dallas/Fort Worth International Airport,San Francisco International Airport,Boeing 737-600,2.404225878138927,20292.134412836953,568.4071264099988,738.9292643330009,307.34602395387003,0.31092436974789917
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Boeing 737-600,0.3732485929843035,6529.30321630585,182.89364751557005,420.6553892858119,1127.0113195135393,0.31932773109243695
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,8.500495398676625,61603.24554785403,1725.5811077830263,57461.850889174784,6759.823774285033,0.5798319327731093
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,8.500495398676625,76004.05693481753,1340.45955793329,16487.652562579475,1939.6107861132784,0.36507936507936506
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,9.051626419030384,59582.07903740301,1471.1624453679756,41928.1296929873,4632.1100487351605,0.5111111111111111
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,9.051626419030384,52002.70462321169,1083.3896796502436,22751.183272655115,2513.491191463935,0.43125
Denver International Airport,Los Angeles International Airport,Boeing 737-600,1.4216095482440827,13633.47664342321,381.89010205667256,114.56703061700318,80.58966033149676,0.3025210084033613
O'Hare International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,1.013440094877643,10867.533701902325,304.41270873675984,1613.3873563048292,1591.990848259877,0.3445378151260504
