Origin Airport,Destination Airport,Boeing 737-600,Boeing 767-800,Airbus A200-100,Airbus A220-300
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,150.65558687198512,150.65558687198512,155.07698880018756,155.07698880018756
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,201.19829055968694,201.19829055968694,210.06465358295407,210.06465358295407
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,137.5650223743586,137.5650223743586,140.80798203053658,140.80798203053658
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,285.95353140285357,285.95353140285357,301.60199755982035,301.60199755982035
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,152.77223727973475,152.77223727973475,157.55567664498238,157.55567664498238
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,264.62084809357776,264.62084809357776,278.39321858401735,278.39321858401735
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,113.48112655486597,113.48112655486597,114.8091223879858,114.8091223879858
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,134.64924787532414,134.64924787532414,137.83886702615226,137.83886702615226
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,86.98745504169042,86.98745504169042,86.83303120985481,86.83303120985481
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,311.03768893071907,311.03768893071907,328.8921728939902,328.8921728939902
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,247.61060894475952,247.61060894475952,259.88701966815876,259.88701966815876
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,151.1753684376704,151.1753684376704,155.81837170910012,155.81837170910012
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,306.4245683698927,306.4245683698927,323.87335299530463,323.87335299530463
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,144.06654009716215,144.06654009716215,148.0843598485274,148.0843598485274
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,173.4128658230228,173.4128658230228,180.01153833091138,180.01153833091138
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,133.07136263835667,133.07136263835667,136.12221520213922,136.12221520213922
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,167.8313495751599,167.8313495751599,173.93915751184315,173.93915751184315
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,152.93783039324842,152.93783039324842,157.73583278922996,157.73583278922996
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,134.58395913285793,134.58395913285793,137.7678364871648,137.7678364871648
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,142.37841905421377,142.37841905421377,146.24777756761222,146.24777756761222
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,247.96599011131445,247.96599011131445,260.27365471200955,260.27365471200955
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,129.19479993278273,129.19479993278273,131.90472949182606,131.90472949182606
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,280.1668047486046,280.1668047486046,295.30635917412064,295.30635917412064
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,132.48211818687852,132.48211818687852,135.48114984534334,135.48114984534334
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,113.73537564528866,113.73537564528866,115.08573132924606,115.08573132924606
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,157.4558351157827,157.4558351157827,162.6511719191808,162.6511719191808
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,127.78989272205705,127.78989272205705,130.37626818845752,130.37626818845752
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,85.55624868823514,85.55624868823514,85.27595789448497,85.27595789448497
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,572.1989376958525,572.1989376958525,613.0211599398518,613.0211599398518
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,151.50239227714926,151.50239227714926,155.99826622220905,155.99826622220905
Dallas/Fort Worth International Airport,Denver International Airport,140.98067912528876,140.98067912528876,144.5512245421711,144.5512245421711
Dallas/Fort Worth International Airport,O'Hare International Airport,159.82058919870667,159.82058919870667,165.0208072020852,165.0208072020852
Dallas/Fort Worth International Airport,Los Angeles International Airport,202.95584596053237,202.95584596053237,212.1526659311071,212.1526659311071
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,222.94198773106146,222.94198773106146,233.89648222493366,233.89648222493366
Dallas/Fort Worth International Airport,Harry Reid International Airport,183.5929453085248,183.5929453085248,191.086901486581,191.086901486581
Dallas/Fort Worth International Airport,Orlando International Airport,177.66498173035419,177.66498173035419,184.6376051431365,184.6376051431365
