Origin Airport,Destination Airport,Flight Time (Minutes)
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,161.63740288624038
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,222.78852020509717
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,145.73434964130985
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,323.73003440199994
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,164.61809750045177
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,297.91983184868934
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,117.08017122783579
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,142.6912718584121
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,87.04853376974647
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,354.07910850989
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,277.33931173566856
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,162.68606168164644
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,348.4977395676154
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,154.085160579559
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,189.59098983689148
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,140.78220411566355
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,182.83796853041122
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,164.81844697075786
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,142.6122796546151
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,152.04271962539835
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,277.7692838943246
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,136.0919892378208
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,316.7287310543866
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,140.06928308151254
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,117.38778468778676
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,170.2847362009889
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,134.3922058982505
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,85.31693135748904
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,670.0555204773755
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,162.66194437094998
Dallas/Fort Worth International Airport,Denver International Airport,149.93182768941327
Dallas/Fort Worth International Airport,O'Hare International Airport,172.661139832087
Dallas/Fort Worth International Airport,Los Angeles International Airport,225.33474932194426
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,249.515784584969
Dallas/Fort Worth International Airport,Harry Reid International Airport,201.90776732429552
Dallas/Fort Worth International Airport,Orlando International Airport,194.73558281927814
Dallas/Fort Worth International Airport,Miami International Airport,213.20433466392382
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,188.07711349052153
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,286.9400057680431
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,177.42513597641062
Dallas/Fort Worth International Airport,Newark Liberty International Airport,246.93873698979442
Dallas/Fort Worth International Airport,San Francisco International Airport,255.20467940234516
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,86.75274100546866
Dallas/Fort Worth International Airport,Logan International Airport,278.8569256083116
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,212.87024337806983
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,177.22923742492856
Dallas/Fort Worth International Airport,LaGuardia Airport,249.20177105385181
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,195.09215335226492
Dallas/Fort Worth International Airport,Philadelphia International Airport,237.5483416239446
Dallas/Fort Worth International Airport,Salt Lake City International Airport,193.42646977886884
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,222.59716426485085
Dallas/Fort Worth International Airport,San Diego International Airport,217.066934551536
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,225.964965943416
Dallas/Fort Worth International Airport,Tampa International Airport,187.23988644715524
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,75.88503034172696
Dallas/Fort Worth International Airport,Washington Dulles International Airport,219.89178386991847
Dallas/Fort Worth International Airport,Nashville International Airport,147.31335717030848
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,748.3215773667655
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,225.5429577995042
Denver International Airport,Dallas/Fort Worth International Airport,150.72172957507388
Denver International Airport,O'Hare International Airport,183.93152239485585
Denver International Airport,Los Angeles International Airport,176.73034778134755
Denver International Airport,John F. Kennedy International Airport,287.3331734019865
Denver International Airport,Harry Reid International Airport,146.02239521884638
Denver International Airport,Orlando International Airport,276.90890410913994
Denver International Airport,Miami International Airport,299.10357512060995
Denver International Airport,Charlotte Douglas International Airport,242.13362137846264
Denver International Airport,Seattle-Tacoma International Airport,197.93436204665423
Denver International Airport,Phoenix Sky Harbor International Airport,142.69262848120832
Denver International Airport,Newark Liberty International Airport,284.46703491587857
Denver International Airport,San Francisco International Airport,190.42641672325195
Denver International Airport,George Bush Intercontinental Airport,178.30212199622673
Denver International Airport,Logan International Airport,304.72396186318156
Denver International Airport,Fort Lauderdale-Hollywood International Airport,298.2326662572094
Denver International Airport,Minneapolis-Saint Paul International Airport,153.88319963429063
Denver International Airport,LaGuardia Airport,286.49420119355796
Denver International Airport,Detroit Metropolitan Airport,213.15401016253554
Denver International Airport,Philadelphia International Airport,278.08987231609836
Denver International Airport,Salt Lake City International Airport,114.86933021465063
Denver International Airport,Ronald Reagan Washington National Airport,260.77528944299274
Denver International Airport,San Diego International Airport,175.665739697841
Denver International Airport,Baltimore/Washington International Airport,269.0937836533026
Denver International Airport,Tampa International Airport,271.51809171039724
Denver International Airport,Austin-Bergstrom International Airport,166.78967169125343
Denver International Airport,Washington Dulles International Airport,257.5983175484963
Denver International Airport,Nashville International Airport,198.48822918902
Denver International Airport,Paris Charles de Gaulle Airport,738.4733103366855
O'Hare International Airport,Hartsfield-Jackson Atlanta International Airport,146.44210974463766
O'Hare International Airport,Dallas/Fort Worth International Airport,171.4240381865135
O'Hare International Airport,Denver International Airport,182.42232440681494
O'Hare International Airport,Los Angeles International Airport,298.0247980367727
O'Hare International Airport,John F. Kennedy International Airport,162.05273931161778
O'Hare International Airport,Harry Reid International Airport,261.88884931664427
O'Hare International Airport,Orlando International Airport,198.21581938180088
O'Hare International Airport,Miami International Airport,224.17542284773916
O'Hare International Airport,Charlotte Douglas International Airport,143.44000131886696
O'Hare International Airport,Seattle-Tacoma International Airport,294.7672895823629
O'Hare International Airport,Phoenix Sky Harbor International Airport,252.36187625998443
O'Hare International Airport,Newark Liberty International Airport,159.22189987891323
O'Hare International Airport,San Francisco International Airport,311.0573322778118
O'Hare International Airport,George Bush Intercontinental Airport,185.604197921542
O'Hare International Airport,Logan International Airport,178.9966182487525
O'Hare International Airport,Fort Lauderdale-Hollywood International Airport,222.084933251488
O'Hare International Airport,Minneapolis-Saint Paul International Airport,101.39180170879762
O'Hare International Airport,LaGuardia Airport,161.15935728223573
O'Hare International Airport,Detroit Metropolitan Airport,88.3953455305164
O'Hare International Airport,Philadelphia International Airport,153.7531818227207
O'Hare International Airport,Salt Lake City International Airport,227.56241519679028
O'Hare International Airport,Ronald Reagan Washington National Airport,144.95870327062238
O'Hare International Airport,San Diego International Airport,295.35462493609384
O'Hare International Airport,Baltimore/Washington International Airport,146.24184218042615
O'Hare International Airport,Tampa International Airport,199.10571646971482
O'Hare International Airport,Austin-Bergstrom International Airport,192.47908160280633
O'Hare International Airport,Washington Dulles International Airport,141.82679969409548
O'Hare International Airport,Nashville International Airport,118.101599270095
O'Hare International Airport,Paris Charles de Gaulle Airport,636.0433639297509
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,330.9798919655646
Los Angeles International Airport,Dallas/Fort Worth International Airport,228.25188413556506
Los Angeles International Airport,Denver International Airport,178.15294346951225
Los Angeles International Airport,O'Hare International Airport,303.84990099978086
Los Angeles International Airport,John F. Kennedy International Airport,401.2144881117225
Los Angeles International Airport,Harry Reid International Airport,86.38943370991701
Los Angeles International Airport,Orlando International Airport,366.0949806539654
Los Angeles International Airport,Miami International Airport,383.24499452870447
Los Angeles International Airport,Charlotte Douglas International Airport,353.29963620014985
Los Angeles International Airport,Seattle-Tacoma International Airport,187.11186475254107
Los Angeles International Airport,Phoenix Sky Harbor International Airport,110.39105053589353
Los Angeles International Airport,Newark Liberty International Airport,398.3303223355295
Los Angeles International Airport,San Francisco International Airport,99.67016130580036
Los Angeles International Airport,George Bush Intercontinental Airport,245.76662735311945
Los Angeles International Airport,Logan International Airport,419.90884689077535
