Origin Airport,Destination Airport,Flight Time (Minutes)
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,157.62171813035076
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,215.0494960046126
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,142.7057917692705
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,310.30995437786515
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,160.29915063698888
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,286.0712708654682
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,115.65569046353117
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,139.70739487408275
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,86.86580776862759
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,338.8111488445111
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,266.74384743631555
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,158.48475167402415
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,333.5696155757084
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,150.4075380487408
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,183.75150566914593
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,137.91456551814755
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,177.40965903457726
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,160.48730132633727
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,139.6332123091134
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,148.48945624452386
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,267.14763965961487
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,133.50992615918273
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,303.73494297814574
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,137.24505247266
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,115.94457410497121
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,165.62076180054805
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,131.91363839962753
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,85.23963832058398
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,635.5485429522632
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,158.58387783219365
Dallas/Fort Worth International Airport,Denver International Airport,146.6288662943212
Dallas/Fort Worth International Airport,O'Hare International Airport,167.9930766749539
Dallas/Fort Worth International Airport,Los Angeles International Airport,217.31891653746175
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,240.0276287039762
Dallas/Fort Worth International Airport,Harry Reid International Airport,195.3183452084005
Dallas/Fort Worth International Airport,Orlando International Airport,188.58285717995278
Dallas/Fort Worth International Airport,Miami International Airport,205.92709265841262
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,182.3298054883444
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,275.7599790869459
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,172.32640039253334
Dallas/Fort Worth International Airport,Newark Liberty International Airport,237.60749112749647
Dallas/Fort Worth International Airport,San Francisco International Airport,245.3701408647732
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,86.58802509010044
Dallas/Fort Worth International Airport,Logan International Airport,268.169057574711
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,205.6133433600358
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,172.14242961663172
Dallas/Fort Worth International Airport,LaGuardia Airport,239.73273467578568
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,188.91771702001262
Dallas/Fort Worth International Airport,Philadelphia International Airport,228.78885358061996
Dallas/Fort Worth International Airport,Salt Lake City International Airport,187.35345277667886
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,214.74801622584667
Dallas/Fort Worth International Airport,San Diego International Airport,209.55450844554065
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,217.91076083626388
Dallas/Fort Worth International Airport,Tampa International Airport,181.54355511738123
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,75.79522534964094
Dallas/Fort Worth International Airport,Washington Dulles International Airport,212.20735971460988
Dallas/Fort Worth International Airport,Nashville International Airport,144.0480529069266
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,709.0491742931764
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,217.6362227444582
Denver International Airport,Dallas/Fort Worth International Airport,147.37067301872898
Denver International Airport,O'Hare International Airport,178.57723367404537
Denver International Airport,Los Angeles International Airport,171.67391612265988
Denver International Airport,John F. Kennedy International Airport,276.12920772150585
Denver International Airport,Harry Reid International Airport,142.83569441793742
Denver International Airport,Orlando International Airport,266.3396462596994
Denver International Airport,Miami International Airport,287.18293895364957
Denver International Airport,Charlotte Douglas International Airport,233.09494705493515
Denver International Airport,Seattle-Tacoma International Airport,191.5868706958581
Denver International Airport,Phoenix Sky Harbor International Airport,139.70866889549094
Denver International Airport,Newark Liberty International Airport,273.4375812794437
