source airport,destination airport,distance (weighted in km),number of passengers for 2% market share (flight demand),Fuel for Boeing 737-600 (Gallons),Fuel for Boeing 767-800 (Gallons),Fuel for Airbus A200-100 (Gallons),Fuel for Airbus A220-300 (Gallons)
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,1170.1452541878828,32,1718.9545516065853,2148.6931895082316,1658.640356813372,1432.4621263388208
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,1912.1121443233453,12,2808.910997932481,3511.138747415601,2710.3527173032717,2340.7591649437336
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,973.4359626827253,40,1429.9867240946303,1787.4834051182875,1379.8117513193802,1191.6556034121918
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,3085.269320011827,77,4532.290090982965,5665.3626137287065,4373.262368492336,3776.9084091524705
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,1230.5776821736474,28,1807.7303653604629,2259.662956700579,1744.3012297337802,1506.441971133719
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,2772.105529031658,10,4072.249491769202,5090.3118647115025,3929.363544689582,3393.541243141002
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,653.7841767325735,11,960.4151983189397,1200.5189978986746,926.7164194305559,800.3459985991163
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,964.5321977168996,13,1416.9070083416798,1771.1337604270998,1367.19097296127,1180.755840284733
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,365.2668388083609,11,536.580473982563,670.7255924782038,517.7530889305434,447.1503949854691
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,3453.5047525208925,17,5073.231457457665,6341.53932182208,4895.223336143361,4227.692881214721
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,2522.395218327006,20,3705.4226609696684,4631.778326212086,3575.4078307602067,3087.8522174747236
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,1207.1356475721427,28,1773.2937926931302,2216.617240866413,1711.0729578617927,1477.744827244275
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,3385.7841426879613,30,4973.749234978643,6217.186543723303,4799.2317179618485,4144.791029148868
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,1102.7780475334819,30,1619.9914817713163,2024.9893522141456,1563.1496753933757,1349.9929014760967
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,1533.5821091891162,21,2252.8467619027642,2816.058452378455,2173.7995070991587,1877.3723015856365
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,941.368842438217,13,1382.8798182605597,1728.5997728256993,1334.3577193742244,1152.3998485504662
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,1451.6454506704888,15,2132.481028161631,2665.601285202039,2057.657132436662,1777.0675234680257
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,1233.008589080028,28,1811.3013908176015,2264.126738522002,1747.746956052072,1509.4178256813345
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,963.5737589774957,18,1415.4990526817835,1769.3738158522294,1365.8324192543528,1179.5825439014864
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,1077.9964306229992,26,1583.5870499010102,1979.4838123762627,1528.0225920097469,1319.6558749175085
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,2527.6122138520327,5,3713.0864772107384,4641.358096513422,3582.8027411682565,3094.238731008948
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,884.4609019203916,9,1299.2815102508719,1624.1018878135899,1253.692685329789,1082.7345918757264
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,3000.3201727274522,14,4407.498982480013,5509.373728100018,4252.849895375452,3672.915818733344
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,932.7187338905179,9,1370.1727262078912,1712.715907759864,1322.096490200597,1141.8106051732425
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,657.5165533799787,13,965.8980952528079,1207.37261906601,932.0069340158674,804.9150793773398
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,1299.3328984068314,10,1908.7324345204597,2385.9155431505746,1841.7593666425491,1590.610362100383
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,863.8368640669387,9,1268.984601714244,1586.2307521428052,1224.458826215499,1057.4871680952033
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,344.2567295396375,9,505.716422850476,632.145528563095,487.97198696098565,421.4303523753966
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,7287.3518843930515,55,10705.189501905154,13381.486877381443,10329.568817627784,8920.991251587628
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,1182.5763575356925,32,1737.2159611236796,2171.5199514045994,1676.26101511934,1447.6799676030662
Dallas/Fort Worth International Airport,Denver International Airport,1028.1176084663805,16,1510.314583881908,1887.893229852385,1457.3210897106133,1258.5954865682568
Dallas/Fort Worth International Airport,O'Hare International Airport,1300.1476836641548,51,1909.9293618434954,2387.411702304369,1842.9142965156536,1591.6078015362461
Dallas/Fort Worth International Airport,Los Angeles International Airport,1967.2730576077568,97,2889.9429062546856,3612.4286328183566,2788.541400772065,2408.2857552122373
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,2260.6696187991233,35,3320.9452561600774,4151.181570200097,3204.4208612070925,2767.4543801333975
Dallas/Fort Worth International Airport,Harry Reid International Airport,1683.0256760362852,12,2472.3807885724286,3090.4759857155354,2385.6305854646243,2060.3173238103573
Dallas/Fort Worth International Airport,Orlando International Airport,1596.0031707087405,14,2344.5438973064724,2930.67987163309,2262.2791991553686,1953.7865810887267
Dallas/Fort Worth International Airport,Miami International Airport,1820.0906930904418,16,2673.730607398807,3342.163259248509,2579.91549836727,2228.108839499006
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,1515.2137428531605,14,2225.8634563637593,2782.3293204546985,2147.7629842106453,1854.8862136364658
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,2638.8836392531502,21,3876.5452636070913,4845.681579508864,3740.5261315507028,3230.4543863392423
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,1385.9697490152816,26,2036.0027953216186,2545.003494152023,1964.5641007489303,1696.6689961013485
Dallas/Fort Worth International Airport,Newark Liberty International Airport,2229.4014413110053,35,3275.0120048638987,4093.765006079873,3160.09930293885,2729.1766707199154
Dallas/Fort Worth International Airport,San Francisco International Airport,2329.6948759166203,37,3422.344017957632,4277.93002244704,3302.2617717135054,2851.9533482980264
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,361.67788660179014,38,531.3082689217778,664.1353361522221,512.6658735210136,442.7568907681481
Dallas/Fort Worth International Airport,Logan International Airport,2540.808933315075,26,3732.472584111642,4665.590730139553,3601.508633791936,3110.393820093035
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,1816.0370521554134,16,2667.7757701588084,3334.71971269851,2574.169602784815,2223.14647513234
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,1383.5928465906327,19,2032.5111029638088,2540.638878704761,1961.1949239124474,1693.7592524698405
Dallas/Fort Worth International Airport,LaGuardia Airport,2256.859587954902,35,3315.3482844696,4144.185355587,3199.0202744882113,2762.790237058
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,1600.3295598423138,23,2350.899404254487,2938.624255318108,2268.4117058595925,1959.0828368787386
Dallas/Fort Worth International Airport,Philadelphia International Airport,2115.4646442053604,33,3107.6377619831273,3884.547202478909,2998.597840510036,2589.6981349859393
Dallas/Fort Worth International Airport,Salt Lake City International Airport,1580.1192658184416,7,2321.2102893541714,2901.5128616927145,2239.7643142891134,1934.3419077951428
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,1934.0570255816897,11,2841.1482380430493,3551.435297553812,2741.4588261818903,2367.623531702541
Dallas/Fort Worth International Airport,San Diego International Airport,1866.9569050601363,17,2742.5775202872223,3428.2219003590276,2646.346730101706,2285.4812669060184
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,1974.91968594828,11,2901.1758763012194,3626.469845376524,2799.380231518721,2417.646563584349
Dallas/Fort Worth International Airport,Tampa International Airport,1505.0553880603163,17,2210.9407361753897,2763.675920219237,2133.3638682394117,1842.4506134794913
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,305.6828604489955,13,449.0510408313398,561.3138010391747,433.2948639600648,374.2092006927831
Dallas/Fort Worth International Airport,Washington Dulles International Airport,1901.2317434565102,11,2792.9275851669167,3491.159481458646,2694.9301260382535,2327.439654305764
Dallas/Fort Worth International Airport,Nashville International Airport,1020.6134995012422,11,1499.2909761586698,1874.1137201983372,1446.684275240822,1249.4091467988915
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,8236.980041317649,69,12100.202332010786,15125.25291501348,11675.633829133214,10083.501943342319
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,1945.5326538021507,12,2858.0060454746554,3572.5075568433185,2757.7251315983517,2381.671704562212
