source airport,destination airport,airplane type,total Cost,break even cost per ticket, loss per flight
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,12217.385153520885,342.22367376809206,-239.55657163766227
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Boeing 767-800,14271.731441901109,251.7060219030178,-5462.0206752954855
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Airbus A200-100,11929.055849888577,294.5445888861377,-1619.9952388737565
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Airbus A220-300,10847.820961267405,225.9962700264043,-2937.951510343255
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Boeing 737-600,17473.65233920796,489.4580487173099,-10621.239657165623
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Boeing 767-800,20842.065424009957,367.5849281130504,-15695.876430427252
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Airbus A200-100,17000.892608007685,419.77512612364654,-11124.040842276634
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Airbus A220-300,15228.043616006637,317.25090866680495,-10786.530894671367
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Boeing 767-800,12537.327094396771,221.11687997172436,-2808.1843756409
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Airbus A220-300,9691.551396264513,201.90732075551068,-807.6292830220427
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Boeing 737-600,12549.118686118676,351.5159295831562,-1652.1248690408338
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Boeing 767-800,14686.398357648348,259.0193713870961,-6656.7978446483685
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Airbus A200-100,12249.14960941276,302.44813850401874,-2873.257315788178
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Airbus A220-300,11124.265571765565,231.75553274511594,-3939.8440566669706
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Boeing 737-600,23611.652545480174,661.3908276044867,-16997.74426943531
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Boeing 767-800,28514.56568185022,502.9023929779581,-23485.54175207064
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Airbus A200-100,22923.524385989647,566.0129478022135,-17263.39490796751
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Airbus A220-300,20343.043787900147,423.81341224791976,-16104.90966542095
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Boeing 737-600,8553.630309586366,239.59748766348366,-5678.460457624562
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Boeing 767-800,9692.037886982956,170.9354124688352,-7640.812937356934
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Airbus A200-100,8393.853807495616,207.25564956779297,-5906.7860126821
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Airbus A220-300,7794.691924655304,162.38941509698552,-5846.018943491478
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Boeing 737-600,10708.732219319952,299.96448793613314,-6509.229388214088
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Boeing 767-800,12385.915274149942,218.4464774982353,-9327.664589174648
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Airbus A200-100,10473.33810636136,258.60094089781137,-6852.924933792001
