source airport,destination airport,airplane type,total Cost,break even cost per ticket, profit per flight
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Boeing 737-600,10829.861675517415,273.29501793013384,1195.119113408473
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Boeing 737-600,25859.16694483733,652.5643360546427,29608.801619807302
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Boeing 767-800,31323.95868104666,497.70339674669367,10980.830042422302
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Airbus A200-100,25092.178630983388,558.1621317091177,22351.602564291617
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Airbus A220-300,22215.972454031107,416.9664499630463,13226.175792827824
Dallas/Fort Worth International Airport,O'Hare International Airport,Boeing 737-600,13029.663403966113,328.80771706074427,5383.568751435565
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A200-100,12712.83310909011,282.79019261684147,3123.4176774530115
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A220-300,11524.719503305096,216.304795482453,588.3490437122709
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 737-600,17865.86988263528,450.8509320068458,29924.328910090375
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 767-800,21332.337353294104,338.94747689426094,14596.095197497554
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A200-100,17379.348132367377,386.59433060543597,23599.650911808836
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A220-300,15554.891568862735,291.94616307925554,15391.401717538352
Dallas/Fort Worth International Airport,San Francisco International Airport,Boeing 737-600,20447.868792350695,516.0084990625254,708.4796692128475
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Boeing 737-600,6522.384297275577,164.5944506845226,225.98818078984914
Denver International Airport,Los Angeles International Airport,Boeing 737-600,13682.992946955346,345.2946967208051,128.794921876859
O'Hare International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,10829.861675517415,273.29501793013384,1468.414131338608
O'Hare International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,10590.217406201016,235.57373832056535,10.600818224424074
O'Hare International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,13029.663403966113,328.80771706074427,5712.376468496312
O'Hare International Airport,Dallas/Fort Worth International Airport,Airbus A200-100,12712.83310909011,282.79019261684147,3406.207870069853
O'Hare International Airport,Dallas/Fort Worth International Airport,Airbus A220-300,11524.719503305096,216.304795482453,804.6538391947252
O'Hare International Airport,Los Angeles International Airport,Boeing 737-600,23593.890334276835,595.3993573643434,57380.42226727387
O'Hare International Airport,Los Angeles International Airport,Boeing 767-800,28492.362917846047,452.7124412959951,33076.529098409286
O'Hare International Airport,Los Angeles International Airport,Airbus A200-100,22906.385410267125,509.540327222047,46391.09909193127
O'Hare International Airport,Los Angeles International Airport,Airbus A220-300,20328.241945230697,381.53607254562115,31560.66392097378
O'Hare International Airport,John F. Kennedy International Airport,Boeing 737-600,12308.089284925816,310.598563729927,3221.8389015705325
O'Hare International Airport,John F. Kennedy International Airport,Airbus A200-100,12016.577380191578,267.3023552483946,1348.5403822281496
O'Hare International Airport,Newark Liberty International Airport,Boeing 737-600,12070.657611800809,304.6068996341083,3159.6873699046064
O'Hare International Airport,Newark Liberty International Airport,Airbus A200-100,11787.476642965694,262.2061315307684,1322.829933572726
O'Hare International Airport,San Francisco International Airport,Boeing 737-600,24727.883364954894,624.0160336375424,7720.950384197309
O'Hare International Airport,San Francisco International Airport,Airbus A200-100,24000.589211798586,533.8803072360935,3761.186764478276
O'Hare International Airport,George Bush Intercontinental Airport,Boeing 737-600,14418.403913652006,363.8530273210691,4865.806534364654
O'Hare International Airport,George Bush Intercontinental Airport,Airbus A200-100,14052.845881594043,312.59806209752065,2514.8514095745522
O'Hare International Airport,LaGuardia Airport,Boeing 737-600,12233.16618783033,308.70785544780904,3202.2265845601232
O'Hare International Airport,LaGuardia Airport,Airbus A200-100,11944.283163695933,265.69420895775625,1340.4272841918792
O'Hare International Airport,Philadelphia International Airport,Boeing 737-600,11611.775204690059,293.02685554521054,1867.4601503896265
O'Hare International Airport,Philadelphia International Airport,Airbus A200-100,11344.69537294655,252.35669831935377,263.7127497437232
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,25859.16694483733,652.5643360546427,36787.00931640837
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 767-800,31323.95868104666,497.70339674669367,16455.56740663593
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,25092.178630983388,558.1621317091177,28491.386013091917
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A220-300,22215.972454031107,416.9664499630463,17812.806742421337
Los Angeles International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,17865.86988263528,450.8509320068458,35785.39102617938
Los Angeles International Airport,Dallas/Fort Worth International Airport,Boeing 767-800,21332.337353294104,338.94747689426094,19002.41239712295
Los Angeles International Airport,Dallas/Fort Worth International Airport,Airbus A200-100,17379.348132367377,386.59433060543597,28625.3772096795
Los Angeles International Airport,Dallas/Fort Worth International Airport,Airbus A220-300,15554.891568862735,291.94616307925554,19186.70183756867
Los Angeles International Airport,Denver International Airport,Boeing 737-600,13682.992946955346,345.2946967208051,2200.5631022016896
Los Angeles International Airport,Denver International Airport,Airbus A200-100,13343.238808465685,296.8132311971012,310.1698266009698
Los Angeles International Airport,O'Hare International Airport,Boeing 737-600,23593.890334276835,595.3993573643434,65716.01327037468
Los Angeles International Airport,O'Hare International Airport,Boeing 767-800,28492.362917846047,452.7124412959951,39414.503276553216
Los Angeles International Airport,O'Hare International Airport,Airbus A200-100,22906.385410267125,509.540327222047,53524.663673039926
Los Angeles International Airport,O'Hare International Airport,Airbus A220-300,20328.241945230697,381.53607254562115,36902.16893661248
Los Angeles International Airport,John F. Kennedy International Airport,Boeing 737-600,31792.110085200224,802.2840509046918,52447.7152597924
Los Angeles International Airport,John F. Kennedy International Airport,Boeing 767-800,38740.137606500284,615.5383575083064,25891.389931871883
Los Angeles International Airport,John F. Kennedy International Airport,Airbus A200-100,30816.948327824783,685.506580532194,41161.242628055596
