Origin Airport,Destination Airport,Weighted Distance
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,1170.1452541878828
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,1912.1121443233453
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,973.4359626827253
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,3085.269320011827
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,1230.5776821736474
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,2772.105529031658
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,653.7841767325735
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,964.5321977168996
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,365.2668388083609
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,3453.5047525208925
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,2522.395218327006
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,1207.1356475721427
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,3385.7841426879613
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,1102.7780475334819
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,1533.5821091891162
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,941.368842438217
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,1451.6454506704888
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,1233.008589080028
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,963.5737589774957
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,1077.9964306229992
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,2527.6122138520327
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,884.4609019203916
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,3000.3201727274522
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,932.7187338905179
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,657.5165533799787
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,1299.3328984068314
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,863.8368640669387
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,344.2567295396375
