,Hartsfield–Jackson Atlanta Intl.,Dallas/Fort Worth Intl.,Denver Intl.,O'Hare Intl.,Los Angeles Intl.,John F. Kennedy Intl.,Harry Reid Intl.,Orlando Intl.,Miami Intl.,Charlotte Douglas Intl.,Seattle–Tacoma Intl.,Phoenix Sky Harbor Intl.,Newark Liberty Intl.,San Francisco Intl.,George Bush Intercontinental Airport,Logan Intl.,Fort Lauderdale–Hollywood Intl.,Minneapolis–Saint Paul Intl.,LaGuardia Airport,Detroit Metropolitan Airport,Philadelphia Intl.,Salt Lake City Intl.,Ronald Reagan Washington National,San Diego Intl.,Baltimore/Washington Intl.,Tampa Intl.,Austin–Bergstrom Intl.,Washington Dulles Intl.,Nashville Intl.,Midway Intl.,Daniel K. Inouye Intl.
Hartsfield–Jackson Atlanta Intl.,0.0,729.8908145831301,1197.052455452394,606.4404594632425,1942.3157087658926,759.3112993383489,1742.910562065246,404.60963696025254,596.2047076997433,226.38844407559134,2177.893380694289,1583.6998015366141,744.6913859951583,2134.5075656166855,688.6693891524945,938.6458753702223,582.1712459800596,906.8587597790047,760.8665015747376,595.1598390945029,665.6927842737894,1586.7131191043436,546.5439346264137,1887.8185372432433,576.1724786730318,407.25172123671956,811.644601460791,533.9043953111222,213.8847763071182,591.3077822624011,4494.877404362734
Dallas/Fort Worth Intl.,729.8908145831301,0.0,641.1021476695627,802.0226594895279,1232.3179667290049,1388.8533414207773,1053.1784308266763,983.333564590558,1119.8813643789977,934.1069821510665,1658.0290371523693,865.8587162682601,1369.728612556276,1461.7512157542853,224.31551853030638,1555.6416542541988,1117.876332143564,852.919971038136,1386.5117505697876,985.9933253224165,1300.533236478344,984.2731301596505,1189.8120166102942,1168.7071391621057,1214.7167259173232,927.5738475107131,190.39932784823412,1169.833575731925,630.2774916676677,797.3912763751811,3778.424266593581
Denver Intl.,1197.052455452394,641.1021476695627,0.0,886.2845761645049,860.5084247153683,1621.886801971001,627.0538352736241,1544.923470334012,1707.914933092863,1334.9073908203554,1022.4747633726536,601.2843649823078,1600.8483480583127,965.0191352616391,861.4908938506832,1750.1927212166981,1701.934704579293,679.0230520833015,1615.5953632121395,1120.3372634220802,1553.867527724695,390.4994163748769,1472.1917158639872,852.0614309491023,1487.4632872205825,1505.2371263858913,775.7313280907614,1448.790575610885,1011.3759418993795,893.3022411079637,3360.0881726770544
O'Hare Intl.,606.4404594632425,802.0226594895279,886.2845761645049,0.0,1741.2261611575318,738.1470345362768,1511.0839592336677,1006.7349959668887,1199.3368960385724,599.3950269682273,1716.202193471475,1437.2796082183363,717.1275692867476,1841.9902105984036,926.2841818241808,864.44522634179,1184.0513018320075,333.7139854488136,731.3600619144134,234.12075735388112,676.2893917514763,1250.3234479793007,610.5015636842561,1720.2673290429248,620.1482233752536,1013.6755361806887,978.4580050771419,587.1320886473986,409.70709595095275,15.434707506987202,4237.147325512264
Los Angeles Intl.,1942.3157087658926,1232.3179667290049,860.5084247153683,1741.2261611575318,0.0,2469.5968848216653,236.1007655286859,2213.61615073463,2338.084630477159,2120.5367346825024,955.0568266851146,369.5804083415773,2448.6492147442955,337.83743746030166,1375.9313469082774,2605.38723020796,2338.4620937961577,1533.1383847221007,2463.9764175240884,1975.0552060011835,2396.3084396693844,580.9784384263155,2305.8104177176015,109.01973321953827,2323.980349046764,2154.0251397930647,1239.2632463226873,2282.878235156717,1793.5775470236,1747.0689244601926,2552.6060396442144
John F. Kennedy Intl.,759.3112993383489,1388.8533414207773,1621.886801971001,738.1470345362768,2469.5968848216653,0.0,2242.877300640188,945.5137087402197,1091.997115532168,541.0552922719598,2415.202038726222,2148.6359617726525,21.04152847813205,2580.130250281672,1415.8021377996502,179.41823866707318,1071.0081803455178,1026.1382968377368,10.631138134712904,507.2963925581049,93.68933796334575,1988.3309997366496,212.90040594769897,2441.1265700724175,183.62688048423536,1006.4977208162823,1519.7142089430556,227.5024128362385,764.168823917842,729.8531329624395,4975.124722912757
Harry Reid Intl.,1742.910562065246,1053.1784308266763,627.0538352736241,1511.0839592336677,236.1007655286859,2242.877300640188,0.0,2035.813780417725,2171.3117516348907,1911.828861869938,866.9132883217064,255.45855857198674,2221.879785021063,413.40175956107345,1219.2139765351947,2375.527320783725,2170.0457905242774,1297.3296522770358,2236.992724205174,1745.165810941921,2171.4657061108496,358.1626538127025,2083.8172002339516,258.84897889799373,2101.0697246120403,1980.7264181071216,1088.1848147090625,2060.6977536579993,1583.9229378585494,1517.4092228587738,2759.012663417564
Orlando Intl.,404.60963696025254,983.333564590558,1544.923470334012,1006.7349959668887,2213.61615073463,945.5137087402197,2035.813780417725,0.0,192.611822263846,469.2899280318849,2550.7117769638808,1845.1027931088101,938.5490231609958,2441.8405196626527,853.0368507626979,1113.1317958239547,177.68238657879837,1311.4563697767283,951.2950193014589,959.1864782179017,862.8593243548335,1927.0743907029623,760.5758033809943,2145.0298874830473,788.5671910555756,80.88101917693861,992.4029622528054,759.9049835068972,617.1322950581078,991.4124395105994,4748.8976840308615
Miami Intl.,596.2047076997433,1119.8813643789977,1707.914933092863,1199.3368960385724,2338.084630477159,1091.997115532168,2171.3117516348907,192.611822263846,0.0,652.100353009004,2721.4502891424245,1968.504827515079,1087.5290540537915,2581.3818815687823,963.2976646185738,1250.7222993332723,21.088065897606118,1502.6161546726848,1098.83365027132,1147.7266145391302,1015.5258162688959,2084.422242586784,921.8258840469529,2263.7057498247596,948.2299950403718,204.53259923691925,1101.7785977356946,924.0703452699636,807.541299635674,1184.0174428735745,4854.159107538538
Charlotte Douglas Intl.,226.38844407559134,934.1069821510665,1334.9073908203554,599.3950269682273,2120.5367346825024,541.0552922719598,1911.828861869938,469.2899280318849,652.100353009004,0.0,2274.6287712835096,1769.6967087320666,528.013070790025,2291.31117661657,911.8339748003303,720.2276386320962,633.4134953985048,929.6877745837359,543.6205775089317,500.58334935683746,448.3302908977918,1724.6689535955848,330.84583658762926,2072.816107927296,360.8611427709526,508.8184759172414,1030.9411056013032,321.90029048712813,327.9481180363676,584.2256916518447,4670.500843070019
