rank,airport,iata code,city,state,metro area,metro population,latitude,longitude
1,Hartsfield-Jackson Atlanta International Airport,ATL,Atlanta,Georgia,Atlanta,6144050,33.63616168,-84.4293928
2,Dallas/Fort Worth International Airport,DFW,Dallas;Fort Worth,Texas,Dallas-Fort Worth,7637387,32.89347974,-97.04431285
3,Denver International Airport,DEN,Denver,Colorado,Denver,2963821,39.8559236,-104.676479
4,O'Hare International Airport,ORD,Chicago,Illinois,Chicago,9618502,41.9802264,-87.90899915
5,Los Angeles International Airport,LAX,Los Angeles,California,Greater Los Angeles,18372485,33.94375126,-118.4091069
6,John F. Kennedy International Airport,JFK,New York City,New York,New York Metro,6713490,40.64457563,-73.77971423
7,Harry Reid International Airport,LAS,Las Vegas,Nevada,Las Vegas,2265461,36.08309915,-115.1482023
8,Orlando International Airport,MCO,Orlando,Florida,Orlando,2691925,28.42460419,-81.31064547
9,Miami International Airport,MIA,Miami,Florida,Miami Metro,3069166,25.7950441,-80.27965417
10,Charlotte Douglas International Airport,CLT,Charlotte,North Carolina,Charlotte,2660329,35.21441441,-80.9488326
11,Seattle-Tacoma International Airport,SEA,Seattle,Washington,Seattle,4018762,47.44835074,-122.3086234
12,Phoenix Sky Harbor International Airport,PHX,Pheonix,Arizona,Pheonix,4845832,33.43524618,-112.0101253
13,Newark Liberty International Airport,EWR,Newark,New Jersey,New York Metro,6713490,40.69803287,-74.17623172
14,San Francisco International Airport,SFO,San Francisco,California,San Francisco Bay Area,7076000,37.62001989,-122.3799746
15,George Bush Intercontinental Airport,IAH,Houston,Texas,Houston,7122240,29.99302539,-95.34161534
16,Logan International Airport,BOS,Boston,Massachusetts,Boston,4941632,42.3655613,-71.0097645
17,Fort Lauderdale-Hollywood International Airport,FLL,Fort Lauderdale;Hollywood,Florida,Miami Metro,3069166,26.07417656,-80.15061293
18,Minneapolis-Saint Paul International Airport,MSP,Minneapolis;Saint Paul,Minnesota,Minneapolis-Saint Paul,3690261,44.88491927,-93.21313393
19,LaGuardia Airport,LGA,New York City,New York,New York Metro,6713490,40.77688645,-73.87397663
20,Detroit Metropolitan Airport,DTW,Detroit,Michigan,Detroit,4365205,42.21320438,-83.35250386
21,Philadelphia International Airport,PHL,Philadelphia,Pennsylvania,Philadelphia,6245051,39.873073,-75.24367654
22,Salt Lake City International Airport,SLC,Salt Lake City,Utah,Salt Lake City,1257936,40.78740389,-111.9853491
23,Ronald Reagan Washington National Airport,DCA,Washington D.C.;Arlington,Virginia,Washington Metro,2128387,38.85123362,-77.04025296
24,San Diego International Airport,SAN,San Diego,California,San Diego,3276208,32.73170322,-117.1994035
25,Baltimore/Washington International Airport,BWI,Baltimore;Washington D.C.,Maryland,Washington Metro,2128387,39.17755484,-76.6683889
26,Tampa International Airport,TPA,Tampa,Florida,Tampa,3175275,27.97695543,-82.53018383
27,Austin-Bergstrom International Airport,AUS,Austin,Texas,Austin,2421115,30.19533012,-97.66672028
28,Washington Dulles International Airport,IAD,Washington D.C.;Arlington,Virginia,Washington Metro,2128387,38.95232368,-77.4586344
29,Nashville International Airport,BNA,Nashville,Tennessee,Nashville,2072283,36.12446164,-86.67813999
30,Paris Charles de Gaulle Airport,CDG,Paris,France,Paris Metropolitan Area,13064617,49.03031614,2.553326643
