source airport,destination airport,aircraft type,distance (weighted in km),number of passengers for 2% market share (flight demand), fuel (gallons)
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,1170.1452541878828,32,1322.2727320050656
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Boeing 767-800,1170.1452541878828,32,1616.1111168950802
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Airbus A200-100,1170.1452541878828,32,1212.0833376713101
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Airbus A220-300,1170.1452541878828,32,1101.8939433375544
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Boeing 747-400,1170.1452541878828,32,3305.681830012664
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Boeing 737-600,1912.1121443233453,12,2160.70076764037
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Boeing 767-800,1912.1121443233453,12,2640.8564937826745
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Airbus A200-100,1912.1121443233453,12,1980.6423703370058
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Airbus A220-300,1912.1121443233453,12,1800.5839730336413
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,Boeing 747-400,1912.1121443233453,12,5401.751919100924
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Boeing 737-600,973.4359626827253,40,1099.9897877651001
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Boeing 767-800,973.4359626827253,40,1344.4319628240112
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Airbus A200-100,973.4359626827253,40,1008.3239721180084
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Airbus A220-300,973.4359626827253,40,916.6581564709167
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,Boeing 747-400,973.4359626827253,40,2749.97446941275
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Boeing 737-600,3085.269320011827,77,3486.376993063819
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Boeing 767-800,3085.269320011827,77,4261.1274359668905
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Airbus A200-100,3085.269320011827,77,3195.845576975168
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Airbus A220-300,3085.269320011827,77,2905.3141608865158
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,Boeing 747-400,3085.269320011827,77,8715.942482659548
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Boeing 737-600,1230.5776821736474,28,1390.5618195080483
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Boeing 767-800,1230.5776821736474,28,1699.5755571765037
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Airbus A200-100,1230.5776821736474,28,1274.6816678823777
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Airbus A220-300,1230.5776821736474,28,1158.801516256707
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,Boeing 747-400,1230.5776821736474,28,3476.404548770121
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Boeing 737-600,2772.105529031658,10,3132.4996090532322
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Boeing 767-800,2772.105529031658,10,3828.610633287284
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Airbus A200-100,2772.105529031658,10,2871.457974965463
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Airbus A220-300,2772.105529031658,10,2610.4163408776935
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,Boeing 747-400,2772.105529031658,10,7831.249022633081
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Boeing 737-600,653.7841767325735,11,738.7809217837997
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Boeing 767-800,653.7841767325735,11,902.9544599579774
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Airbus A200-100,653.7841767325735,11,677.2158449684831
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Airbus A220-300,653.7841767325735,11,615.6507681531664
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,Boeing 747-400,653.7841767325735,11,1846.9523044594991
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Boeing 737-600,964.5321977168996,13,1089.9284679551383
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Boeing 767-800,964.5321977168996,13,1332.1347941673914
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Airbus A200-100,964.5321977168996,13,999.1010956255435
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Airbus A220-300,964.5321977168996,13,908.2737232959485
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Boeing 747-400,964.5321977168996,13,2724.821169887846
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Boeing 737-600,365.2668388083609,11,412.7542107558177
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Boeing 767-800,365.2668388083609,11,504.477368701555
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Airbus A200-100,365.2668388083609,11,378.35802652616627
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Airbus A220-300,365.2668388083609,11,343.9618422965147
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Boeing 747-400,365.2668388083609,11,1031.8855268895443
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Boeing 737-600,3453.5047525208925,17,3902.4857365058956
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Boeing 767-800,3453.5047525208925,17,4769.704789062762
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Airbus A200-100,3453.5047525208925,17,3577.2785917970714
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Airbus A220-300,3453.5047525208925,17,3252.0714470882463
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Boeing 747-400,3453.5047525208925,17,9756.214341264738
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Boeing 737-600,2522.395218327006,20,2850.3251238228218
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Boeing 767-800,2522.395218327006,20,3483.73070689456
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Airbus A200-100,2522.395218327006,20,2612.7980301709204
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Airbus A220-300,2522.395218327006,20,2375.270936519018
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Boeing 747-400,2522.395218327006,20,7125.812809557055
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Boeing 737-600,1207.1356475721427,28,1364.0721482254846
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Boeing 767-800,1207.1356475721427,28,1667.1992922755926
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Airbus A200-100,1207.1356475721427,28,1250.3994692066944
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Airbus A220-300,1207.1356475721427,28,1136.7267901879038
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Boeing 747-400,1207.1356475721427,28,3410.1803705637117
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Boeing 737-600,3385.7841426879613,30,3825.960949983571
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Boeing 767-800,3385.7841426879613,30,4676.174494424365
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Airbus A200-100,3385.7841426879613,30,3507.1308708182737
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Airbus A220-300,3385.7841426879613,30,3188.3007916529755
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Boeing 747-400,3385.7841426879613,30,9564.902374958927
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Boeing 737-600,1102.7780475334819,30,1246.1472936702432
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Boeing 767-800,1102.7780475334819,30,1523.0689144858532
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Airbus A200-100,1102.7780475334819,30,1142.3016858643898
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Airbus A220-300,1102.7780475334819,30,1038.456078058536
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Boeing 747-400,1102.7780475334819,30,3115.3682341756084
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Boeing 737-600,1533.5821091891162,21,1732.9590476175108
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Boeing 767-800,1533.5821091891162,21,2118.06105819918
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Airbus A200-100,1533.5821091891162,21,1588.5457936493851
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Airbus A220-300,1533.5821091891162,21,1444.1325396812588
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Boeing 747-400,1533.5821091891162,21,4332.397619043777
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 737-600,941.368842438217,13,1063.7537063542766
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 767-800,941.368842438217,13,1300.1434188774492
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A200-100,941.368842438217,13,975.1075641580869
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A220-300,941.368842438217,13,886.461421961897
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 747-400,941.368842438217,13,2659.384265885691
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,1451.6454506704888,15,1640.370021662793
