type (arrival/departure),airport,arrival/departure time,aircraft flight number,number of passengers,aircraft tail number
departure,Hartsfield-Jackson Atlanta International Airport,35,0,119,N00000
arrival,San Francisco International Airport,356,0,119,N00000
departure,San Francisco International Airport,382,67,119,N00000
arrival,Los Angeles International Airport,519,67,119,N00000
departure,Los Angeles International Airport,555,104,119,N00000
arrival,John F. Kennedy International Airport,919,104,119,N00000
departure,John F. Kennedy International Airport,955,178,40,N00000
arrival,Dallas/Fort Worth International Airport,1189,178,40,N00000
departure,Dallas/Fort Worth International Airport,1215,251,85,N00000
arrival,San Diego International Airport,1426,251,85,N00000
departure,San Diego International Airport,1462,304,75,N00000
arrival,Newark Liberty International Airport,1821,304,75,N00000
departure,Newark Liberty International Airport,1847,369,60,N00000
arrival,O'Hare International Airport,2009,369,60,N00000
departure,O'Hare International Airport,2045,406,119,N00000
arrival,Los Angeles International Airport,2324,406,119,N00000
departure,Los Angeles International Airport,2350,473,119,N00000
arrival,Phoenix Sky Harbor International Airport,2472,473,119,N00000
departure,Phoenix Sky Harbor International Airport,2498,508,25,N00000
arrival,O'Hare International Airport,2741,508,25,N00000
departure,O'Hare International Airport,2777,581,90,N00000
arrival,Charlotte Douglas International Airport,2927,581,90,N00000
departure,Charlotte Douglas International Airport,3171,623,5,N00000
arrival,Los Angeles International Airport,3501,623,5,N00000
departure,Los Angeles International Airport,3537,718,119,N00000
arrival,George Bush Intercontinental Airport,3771,718,119,N00000
departure,George Bush Intercontinental Airport,3797,773,119,N00000
arrival,Dallas/Fort Worth International Airport,3898,773,119,N00000
departure,Dallas/Fort Worth International Airport,3924,808,119,N00000
arrival,San Francisco International Airport,4166,808,119,N00000
departure,San Francisco International Airport,4294,899,5,N00000
arrival,John F. Kennedy International Airport,4671,899,5,N00000
departure,John F. Kennedy International Airport,4707,957,119,N00000
arrival,Los Angeles International Airport,5061,957,119,N00000
departure,Los Angeles International Airport,5097,1040,119,N00000
arrival,Minneapolis-Saint Paul International Airport,5355,1040,119,N00000
departure,Minneapolis-Saint Paul International Airport,5381,1109,70,N00000
arrival,Los Angeles International Airport,5636,1109,70,N00000
departure,Los Angeles International Airport,5762,1202,119,N00000
arrival,Miami International Airport,6111,1202,119,N00000
departure,Miami International Airport,6147,1255,119,N00000
arrival,Los Angeles International Airport,6497,1255,119,N00000
departure,Los Angeles International Airport,6533,1332,16,N00000
arrival,Logan International Airport,6913,1332,16,N00000
departure,Logan International Airport,6939,1430,35,N00000
arrival,Baltimore/Washington International Airport,7061,1430,35,N00000
departure,Baltimore/Washington International Airport,7087,1476,70,N00000
arrival,O'Hare International Airport,7239,1476,70,N00000
departure,O'Hare International Airport,7501,1517,119,N00000
arrival,Los Angeles International Airport,7780,1517,119,N00000
departure,Los Angeles International Airport,7806,1604,119,N00000
arrival,Hartsfield-Jackson Atlanta International Airport,8112,1604,119,N00000
departure,Hartsfield-Jackson Atlanta International Airport,8148,1675,11,N00000
arrival,O'Hare International Airport,8300,1675,11,N00000
departure,O'Hare International Airport,8326,1721,70,N00000
arrival,Nashville International Airport,8455,1721,70,N00000
departure,Nashville International Airport,8481,1767,20,N00000
arrival,Charlotte Douglas International Airport,8592,1767,20,N00000
departure,Charlotte Douglas International Airport,8618,1803,20,N00000
arrival,Nashville International Airport,8728,1803,20,N00000
departure,Nashville International Airport,8931,1824,40,N00000
arrival,Hartsfield-Jackson Atlanta International Airport,9031,1824,40,N00000
departure,Hartsfield-Jackson Atlanta International Airport,9067,1874,36,N00000
arrival,Los Angeles International Airport,9367,1874,36,N00000
departure,Los Angeles International Airport,9403,1945,119,N00000
arrival,Logan International Airport,9783,1945,119,N00000
departure,Logan International Airport,9809,2039,119,N00000
arrival,O'Hare International Airport,9987,2039,119,N00000
departure,O'Hare International Airport,10023,2085,90,N00000
arrival,Charlotte Douglas International Airport,10173,2085,90,N00000
departure,Charlotte Douglas International Airport,10371,2115,119,N00000
arrival,Los Angeles International Airport,10728,2115,119,N00000
departure,Los Angeles International Airport,10764,2220,119,N00000
arrival,Dallas/Fort Worth International Airport,10984,2220,119,N00000
departure,Dallas/Fort Worth International Airport,11010,2268,50,N00000
arrival,San Francisco International Airport,11252,2268,50,N00000
departure,San Francisco International Airport,11278,2336,100,N00000
arrival,Seattle-Tacoma International Airport,11434,2336,100,N00000
departure,Seattle-Tacoma International Airport,11478,2389,40,N00000
arrival,Miami International Airport,11871,2389,40,N00000
departure,Miami International Airport,11907,2447,119,N00000
arrival,Los Angeles International Airport,12277,2447,119,N00000
departure,Los Angeles International Airport,12303,2530,119,N00000
arrival,San Francisco International Airport,12415,2530,119,N00000
departure,San Francisco International Airport,12451,2563,119,N00000
arrival,George Bush Intercontinental Airport,12721,2563,119,N00000
departure,George Bush Intercontinental Airport,12747,2643,119,N00000
arrival,LaGuardia Airport,12985,2643,119,N00000
departure,LaGuardia Airport,13261,2713,119,N00000
arrival,Los Angeles International Airport,13615,2713,119,N00000
departure,Los Angeles International Airport,13651,2811,119,N00000
arrival,George Bush Intercontinental Airport,13885,2811,119,N00000
departure,George Bush Intercontinental Airport,13911,2875,119,N00000
arrival,Hartsfield-Jackson Atlanta International Airport,14070,2875,119,N00000
departure,Hartsfield-Jackson Atlanta International Airport,14096,2917,119,N00000
arrival,Newark Liberty International Airport,14262,2917,119,N00000
departure,Newark Liberty International Airport,14298,2968,85,N00000
arrival,Minneapolis-Saint Paul International Airport,14489,2968,85,N00000
departure,Minneapolis-Saint Paul International Airport,14691,3015,119,N00000
arrival,Los Angeles International Airport,14948,3015,119,N00000
departure,Los Angeles International Airport,14974,3101,119,N00000
arrival,Dallas/Fort Worth International Airport,15194,3101,119,N00000
departure,Dallas/Fort Worth International Airport,15230,3147,119,N00000
arrival,San Francisco International Airport,15472,3147,119,N00000
departure,San Francisco International Airport,15508,3208,119,N00000
arrival,LaGuardia Airport,15884,3208,119,N00000
departure,LaGuardia Airport,16141,3299,119,N00000
arrival,Los Angeles International Airport,null,3299,119,N00000
departure,Dallas/Fort Worth International Airport,301,15,119,N00001
arrival,Los Angeles International Airport,529,15,119,N00001
departure,Los Angeles International Airport,555,107,119,N00001
arrival,LaGuardia Airport,919,107,119,N00001
departure,LaGuardia Airport,955,179,40,N00001
arrival,Dallas/Fort Worth International Airport,1189,179,40,N00001
departure,Dallas/Fort Worth International Airport,1215,252,70,N00001
arrival,Orlando International Airport,1424,252,70,N00001
departure,Orlando International Airport,1460,303,65,N00001
arrival,San Francisco International Airport,1832,303,65,N00001
departure,San Francisco International Airport,1868,376,119,N00001
arrival,Dallas/Fort Worth International Airport,2114,376,119,N00001
departure,Dallas/Fort Worth International Airport,2140,425,30,N00001
arrival,George Bush Intercontinental Airport,2241,425,30,N00001
departure,George Bush Intercontinental Airport,2267,455,119,N00001
arrival,Dallas/Fort Worth International Airport,2368,455,119,N00001
departure,Dallas/Fort Worth International Airport,2394,489,15,N00001
arrival,Newark Liberty International Airport,2629,489,15,N00001
departure,Newark Liberty International Airport,2665,551,119,N00001
arrival,George Bush Intercontinental Airport,2898,551,119,N00001
departure,George Bush Intercontinental Airport,3171,624,119,N00001
arrival,Los Angeles International Airport,3405,624,119,N00001
departure,Los Angeles International Airport,3441,698,119,N00001
arrival,Newark Liberty International Airport,3803,698,119,N00001
departure,Newark Liberty International Airport,3839,788,40,N00001
arrival,Dallas/Fort Worth International Airport,4071,788,40,N00001
departure,Dallas/Fort Worth International Airport,4097,856,119,N00001
arrival,Philadelphia International Airport,4325,856,119,N00001
departure,Philadelphia International Airport,4361,918,119,N00001
arrival,Los Angeles International Airport,4708,918,119,N00001
departure,Los Angeles International Airport,4744,977,119,N00001
arrival,Newark Liberty International Airport,5106,977,119,N00001
departure,Newark Liberty International Airport,5142,1049,119,N00001
arrival,Dallas/Fort Worth International Airport,5374,1049,119,N00001
departure,Dallas/Fort Worth International Airport,5400,1112,119,N00001
arrival,LaGuardia Airport,5637,1112,119,N00001
departure,LaGuardia Airport,5663,1182,119,N00001
arrival,Hartsfield-Jackson Atlanta International Airport,5830,1182,119,N00001
departure,Hartsfield-Jackson Atlanta International Airport,6061,1213,119,N00001
arrival,Los Angeles International Airport,6361,1213,119,N00001
departure,Los Angeles International Airport,6397,1311,119,N00001
arrival,Philadelphia International Airport,6753,1311,119,N00001
departure,Philadelphia International Airport,6779,1386,16,N00001
arrival,O'Hare International Airport,6937,1386,16,N00001
departure,O'Hare International Airport,6973,1435,119,N00001
arrival,Phoenix Sky Harbor International Airport,7213,1435,119,N00001
departure,Phoenix Sky Harbor International Airport,7239,1511,110,N00001
arrival,Newark Liberty International Airport,7564,1511,110,N00001
departure,Newark Liberty International Airport,7600,1560,119,N00001
arrival,Los Angeles International Airport,7952,1560,119,N00001
departure,Los Angeles International Airport,7978,1630,119,N00001
arrival,San Francisco International Airport,8090,1630,119,N00001
departure,San Francisco International Airport,8126,1666,15,N00001
arrival,George Bush Intercontinental Airport,8396,1666,15,N00001
departure,George Bush Intercontinental Airport,8422,1756,119,N00001
arrival,LaGuardia Airport,8660,1756,119,N00001
departure,LaGuardia Airport,8696,1823,119,N00001
arrival,Los Angeles International Airport,9050,1823,119,N00001
departure,Los Angeles International Airport,9086,1884,119,N00001
arrival,O'Hare International Airport,9370,1884,119,N00001
departure,O'Hare International Airport,9396,1946,119,N00001
arrival,Philadelphia International Airport,9554,1946,119,N00001
departure,Philadelphia International Airport,9580,1987,119,N00001
arrival,O'Hare International Airport,9738,1987,119,N00001
departure,O'Hare International Airport,9764,2027,119,N00001
arrival,Minneapolis-Saint Paul International Airport,9877,2027,119,N00001
departure,Minneapolis-Saint Paul International Airport,9913,2062,119,N00001
arrival,Los Angeles International Airport,10168,2062,119,N00001
departure,Los Angeles International Airport,10371,2116,119,N00001
arrival,O'Hare International Airport,10655,2116,119,N00001
departure,O'Hare International Airport,10691,2204,105,N00001
arrival,San Francisco International Airport,10981,2204,105,N00001
departure,San Francisco International Airport,11007,2266,119,N00001
arrival,Phoenix Sky Harbor International Airport,11160,2266,119,N00001
departure,Phoenix Sky Harbor International Airport,11196,2309,119,N00001
arrival,O'Hare International Airport,11439,2309,119,N00001
departure,O'Hare International Airport,11465,2388,70,N00001
arrival,Washington Dulles International Airport,11826,2388,70,N00001
departure,Washington Dulles International Airport,11852,2443,45,N00001
arrival,LaGuardia Airport,11952,2443,45,N00001
departure,LaGuardia Airport,11978,2473,119,N00001
arrival,O'Hare International Airport,12142,2473,119,N00001
departure,O'Hare International Airport,12178,2507,105,N00001
arrival,San Francisco International Airport,12468,2507,105,N00001
departure,San Francisco International Airport,12494,2575,119,N00001
arrival,Phoenix Sky Harbor International Airport,12647,2575,119,N00001
departure,Phoenix Sky Harbor International Airport,12683,2618,119,N00001
arrival,O'Hare International Airport,12926,2618,119,N00001
departure,O'Hare International Airport,13251,2714,119,N00001
arrival,Los Angeles International Airport,13530,2714,119,N00001
departure,Los Angeles International Airport,13566,2798,76,N00001
arrival,Philadelphia International Airport,13922,2798,76,N00001
departure,Philadelphia International Airport,13958,2885,119,N00001
arrival,Los Angeles International Airport,14305,2885,119,N00001
departure,Los Angeles International Airport,14402,2991,119,N00001
arrival,Miami International Airport,14751,2991,119,N00001
departure,Miami International Airport,14787,3046,119,N00001
arrival,Los Angeles International Airport,15128,3046,119,N00001
departure,Los Angeles International Airport,15164,3131,111,N00001
arrival,Detroit Metropolitan Airport,15472,3131,111,N00001
