flight number,source airport,destination airport,number of passengers,scheduled departure time,scheduled arrival time,actual departure time,actual arrival time,aircraft tail number,aircraft type
0,Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,119,35,356,35,356,N00000,Boeing 737-600
67,San Francisco International Airport,Los Angeles International Airport,119,382,494,382,519,N00000,Boeing 737-600
104,Los Angeles International Airport,John F. Kennedy International Airport,119,555,919,555,919,N00000,Boeing 737-600
178,John F. Kennedy International Airport,Dallas/Fort Worth International Airport,40,955,1189,955,1189,N00000,Boeing 737-600
251,Dallas/Fort Worth International Airport,San Diego International Airport,85,1215,1426,1215,1426,N00000,Boeing 737-600
304,San Diego International Airport,Newark Liberty International Airport,75,1462,1821,1462,1821,N00000,Boeing 737-600
369,Newark Liberty International Airport,O'Hare International Airport,60,1847,2009,1847,2009,N00000,Boeing 737-600
406,O'Hare International Airport,Los Angeles International Airport,119,2045,2324,2045,2324,N00000,Boeing 737-600
473,Los Angeles International Airport,Phoenix Sky Harbor International Airport,119,2350,2472,2350,2472,N00000,Boeing 737-600
508,Phoenix Sky Harbor International Airport,O'Hare International Airport,25,2498,2741,2498,2741,N00000,Boeing 737-600
581,O'Hare International Airport,Charlotte Douglas International Airport,90,2777,2927,2777,2927,N00000,Boeing 737-600
623,Charlotte Douglas International Airport,Los Angeles International Airport,5,3171,3488,3171,3501,N00000,Boeing 737-600
718,Los Angeles International Airport,George Bush Intercontinental Airport,119,3537,3771,3537,3771,N00000,Boeing 737-600
773,George Bush Intercontinental Airport,Dallas/Fort Worth International Airport,119,3797,3898,3797,3898,N00000,Boeing 737-600
808,Dallas/Fort Worth International Airport,San Francisco International Airport,119,3924,4166,3924,4166,N00000,Boeing 737-600
899,San Francisco International Airport,John F. Kennedy International Airport,5,4294,4671,4294,4671,N00000,Boeing 737-600
957,John F. Kennedy International Airport,Los Angeles International Airport,119,4707,5061,4707,5061,N00000,Boeing 737-600
1040,Los Angeles International Airport,Minneapolis-Saint Paul International Airport,119,5097,5355,5097,5355,N00000,Boeing 737-600
1109,Minneapolis-Saint Paul International Airport,Los Angeles International Airport,70,5381,5636,5381,5636,N00000,Boeing 737-600
1202,Los Angeles International Airport,Miami International Airport,119,5762,6111,5762,6111,N00000,Boeing 737-600
1255,Miami International Airport,Los Angeles International Airport,119,6147,6488,6147,6497,N00000,Boeing 737-600
1332,Los Angeles International Airport,Logan International Airport,16,6533,6913,6533,6913,N00000,Boeing 737-600
1430,Logan International Airport,Baltimore/Washington International Airport,35,6939,7061,6939,7061,N00000,Boeing 737-600
1476,Baltimore/Washington International Airport,O'Hare International Airport,70,7087,7239,7087,7239,N00000,Boeing 737-600
1517,O'Hare International Airport,Los Angeles International Airport,119,7501,7780,7501,7780,N00000,Boeing 737-600
1604,Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,119,7806,8112,7806,8112,N00000,Boeing 737-600
1675,Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,11,8148,8300,8148,8300,N00000,Boeing 737-600
1721,O'Hare International Airport,Nashville International Airport,70,8326,8455,8326,8455,N00000,Boeing 737-600
1767,Nashville International Airport,Charlotte Douglas International Airport,20,8481,8592,8481,8592,N00000,Boeing 737-600
1803,Charlotte Douglas International Airport,Nashville International Airport,20,8618,8728,8618,8728,N00000,Boeing 737-600
1824,Nashville International Airport,Hartsfield-Jackson Atlanta International Airport,40,8931,9031,8931,9031,N00000,Boeing 737-600
1874,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,36,9067,9367,9067,9367,N00000,Boeing 737-600
1945,Los Angeles International Airport,Logan International Airport,119,9403,9783,9403,9783,N00000,Boeing 737-600
2039,Logan International Airport,O'Hare International Airport,119,9809,9987,9809,9987,N00000,Boeing 737-600
2085,O'Hare International Airport,Charlotte Douglas International Airport,90,10023,10173,10023,10173,N00000,Boeing 737-600
2115,Charlotte Douglas International Airport,Los Angeles International Airport,119,10371,10688,10371,10728,N00000,Boeing 737-600
2220,Los Angeles International Airport,Dallas/Fort Worth International Airport,119,10764,10984,10764,10984,N00000,Boeing 737-600
2268,Dallas/Fort Worth International Airport,San Francisco International Airport,50,11010,11252,11010,11252,N00000,Boeing 737-600
2336,San Francisco International Airport,Seattle-Tacoma International Airport,100,11278,11434,11278,11434,N00000,Boeing 737-600
2389,Seattle-Tacoma International Airport,Miami International Airport,40,11478,11871,11478,11871,N00000,Boeing 737-600
2447,Miami International Airport,Los Angeles International Airport,119,11907,12248,11907,12277,N00000,Boeing 737-600
2530,Los Angeles International Airport,San Francisco International Airport,119,12303,12415,12303,12415,N00000,Boeing 737-600
2563,San Francisco International Airport,George Bush Intercontinental Airport,119,12451,12721,12451,12721,N00000,Boeing 737-600
2643,George Bush Intercontinental Airport,LaGuardia Airport,119,12747,12985,12747,12985,N00000,Boeing 737-600
2713,LaGuardia Airport,Los Angeles International Airport,119,13261,13615,13261,13615,N00000,Boeing 737-600
2811,Los Angeles International Airport,George Bush Intercontinental Airport,119,13651,13885,13651,13885,N00000,Boeing 737-600
2875,George Bush Intercontinental Airport,Hartsfield-Jackson Atlanta International Airport,119,13911,14070,13911,14070,N00000,Boeing 737-600
2917,Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,119,14096,14262,14096,14262,N00000,Boeing 737-600
2968,Newark Liberty International Airport,Minneapolis-Saint Paul International Airport,85,14298,14489,14298,14489,N00000,Boeing 737-600
3015,Minneapolis-Saint Paul International Airport,Los Angeles International Airport,119,14691,14946,14691,14948,N00000,Boeing 737-600
3101,Los Angeles International Airport,Dallas/Fort Worth International Airport,119,14974,15194,14974,15194,N00000,Boeing 737-600
3147,Dallas/Fort Worth International Airport,San Francisco International Airport,119,15230,15472,15230,15472,N00000,Boeing 737-600
3208,San Francisco International Airport,LaGuardia Airport,119,15508,15884,15508,15884,N00000,Boeing 737-600
3299,LaGuardia Airport,Los Angeles International Airport,119,16141,16495,16141,null,N00000,Boeing 737-600
15,Dallas/Fort Worth International Airport,Los Angeles International Airport,119,301,518,301,529,N00001,Boeing 737-600
107,Los Angeles International Airport,LaGuardia Airport,119,555,919,555,919,N00001,Boeing 737-600
179,LaGuardia Airport,Dallas/Fort Worth International Airport,40,955,1189,955,1189,N00001,Boeing 737-600
252,Dallas/Fort Worth International Airport,Orlando International Airport,70,1215,1407,1215,1424,N00001,Boeing 737-600
303,Orlando International Airport,San Francisco International Airport,65,1460,1812,1460,1832,N00001,Boeing 737-600
376,San Francisco International Airport,Dallas/Fort Worth International Airport,119,1868,2114,1868,2114,N00001,Boeing 737-600
425,Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,30,2140,2241,2140,2241,N00001,Boeing 737-600
455,George Bush Intercontinental Airport,Dallas/Fort Worth International Airport,119,2267,2368,2267,2368,N00001,Boeing 737-600
489,Dallas/Fort Worth International Airport,Newark Liberty International Airport,15,2394,2629,2394,2629,N00001,Boeing 737-600
551,Newark Liberty International Airport,George Bush Intercontinental Airport,119,2665,2898,2665,2898,N00001,Boeing 737-600
624,George Bush Intercontinental Airport,Los Angeles International Airport,119,3171,3402,3171,3405,N00001,Boeing 737-600
698,Los Angeles International Airport,Newark Liberty International Airport,119,3441,3803,3441,3803,N00001,Boeing 737-600
788,Newark Liberty International Airport,Dallas/Fort Worth International Airport,40,3839,4071,3839,4071,N00001,Boeing 737-600
856,Dallas/Fort Worth International Airport,Philadelphia International Airport,119,4097,4325,4097,4325,N00001,Boeing 737-600
918,Philadelphia International Airport,Los Angeles International Airport,119,4361,4708,4361,4708,N00001,Boeing 737-600
977,Los Angeles International Airport,Newark Liberty International Airport,119,4744,5106,4744,5106,N00001,Boeing 737-600
1049,Newark Liberty International Airport,Dallas/Fort Worth International Airport,119,5142,5374,5142,5374,N00001,Boeing 737-600
1112,Dallas/Fort Worth International Airport,LaGuardia Airport,119,5400,5637,5400,5637,N00001,Boeing 737-600
1182,LaGuardia Airport,Hartsfield-Jackson Atlanta International Airport,119,5663,5830,5663,5830,N00001,Boeing 737-600
1213,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,119,6061,6361,6061,6361,N00001,Boeing 737-600
1311,Los Angeles International Airport,Philadelphia International Airport,119,6397,6753,6397,6753,N00001,Boeing 737-600
1386,Philadelphia International Airport,O'Hare International Airport,16,6779,6937,6779,6937,N00001,Boeing 737-600
1435,O'Hare International Airport,Phoenix Sky Harbor International Airport,119,6973,7213,6973,7213,N00001,Boeing 737-600
1511,Phoenix Sky Harbor International Airport,Newark Liberty International Airport,110,7239,7564,7239,7564,N00001,Boeing 737-600
1560,Newark Liberty International Airport,Los Angeles International Airport,119,7600,7952,7600,7952,N00001,Boeing 737-600
1630,Los Angeles International Airport,San Francisco International Airport,119,7978,8090,7978,8090,N00001,Boeing 737-600
1666,San Francisco International Airport,George Bush Intercontinental Airport,15,8126,8396,8126,8396,N00001,Boeing 737-600
1756,George Bush Intercontinental Airport,LaGuardia Airport,119,8422,8660,8422,8660,N00001,Boeing 737-600
1823,LaGuardia Airport,Los Angeles International Airport,119,8696,9050,8696,9050,N00001,Boeing 737-600
1884,Los Angeles International Airport,O'Hare International Airport,119,9086,9370,9086,9370,N00001,Boeing 737-600
1946,O'Hare International Airport,Philadelphia International Airport,119,9396,9554,9396,9554,N00001,Boeing 737-600
1987,Philadelphia International Airport,O'Hare International Airport,119,9580,9738,9580,9738,N00001,Boeing 737-600
2027,O'Hare International Airport,Minneapolis-Saint Paul International Airport,119,9764,9877,9764,9877,N00001,Boeing 737-600
2062,Minneapolis-Saint Paul International Airport,Los Angeles International Airport,119,9913,10168,9913,10168,N00001,Boeing 737-600
2116,Los Angeles International Airport,O'Hare International Airport,119,10371,10655,10371,10655,N00001,Boeing 737-600
2204,O'Hare International Airport,San Francisco International Airport,105,10691,10981,10691,10981,N00001,Boeing 737-600
2266,San Francisco International Airport,Phoenix Sky Harbor International Airport,119,11007,11160,11007,11160,N00001,Boeing 737-600
