aircraft tail number,flight number,source airport,destination airport,departure time,arrival time,number of passengers
N00000,0,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,35,365,119
N00000,115,Los Angeles International Airport,LaGuardia Airport,401,765,82
N00000,195,LaGuardia Airport,Dallas/Fort Worth International Airport,801,1035,40
N00000,261,Dallas/Fort Worth International Airport,San Diego International Airport,1061,1272,85
N00000,311,San Diego International Airport,San Francisco International Airport,1298,1428,80
N00000,348,San Francisco International Airport,George Bush Intercontinental Airport,1464,1734,119
N00000,426,George Bush Intercontinental Airport,Los Angeles International Airport,1760,1991,119
N00000,484,Los Angeles International Airport,George Bush Intercontinental Airport,2027,2261,119
N00000,553,George Bush Intercontinental Airport,San Francisco International Airport,2287,2552,119
N00000,629,San Francisco International Airport,Newark Liberty International Airport,2588,2962,46
N00000,728,Newark Liberty International Airport,Los Angeles International Airport,2998,3350,119
N00000,830,Los Angeles International Airport,Dallas/Fort Worth International Airport,3376,3596,91
N00000,888,Dallas/Fort Worth International Airport,Philadelphia International Airport,3632,3860,99
N00000,962,Philadelphia International Airport,Charlotte Douglas International Airport,3886,4017,44
N00000,1007,Charlotte Douglas International Airport,John F. Kennedy International Airport,4043,4184,48
N00000,1045,John F. Kennedy International Airport,Hartsfield-Jackson Atlanta International Airport,4210,4376,84
N00000,1094,Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,4412,4578,56
N00000,1148,Newark Liberty International Airport,Hartsfield-Jackson Atlanta International Airport,4604,4769,56
N00000,1201,Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,4795,4943,26
N00000,1248,Fort Lauderdale-Hollywood International Airport,O'Hare International Airport,4969,5182,80
N00000,1313,O'Hare International Airport,Washington Dulles International Airport,5218,5366,28
N00000,1368,Washington Dulles International Airport,Detroit Metropolitan Airport,5392,5515,18
N00000,1402,Detroit Metropolitan Airport,Nashville International Airport,5541,5672,24
N00000,1448,Nashville International Airport,Dallas/Fort Worth International Airport,5698,5850,33
N00000,1489,Dallas/Fort Worth International Airport,Harry Reid International Airport,5876,6074,48
N00000,1556,Harry Reid International Airport,Salt Lake City International Airport,6100,6222,4
N00000,1590,Salt Lake City International Airport,Seattle-Tacoma International Airport,6258,6415,12
N00000,1639,Seattle-Tacoma International Airport,Phoenix Sky Harbor International Airport,6441,6645,52
N00000,1694,Phoenix Sky Harbor International Airport,Austin-Bergstrom International Airport,6671,6849,16
N00000,1740,Austin-Bergstrom International Airport,Nashville International Airport,6875,7040,12
N00000,1782,Nashville International Airport,John F. Kennedy International Airport,7076,7242,36
N00000,1821,John F. Kennedy International Airport,Minneapolis-Saint Paul International Airport,7268,7461,51
N00000,1870,Minneapolis-Saint Paul International Airport,Philadelphia International Airport,7487,7677,45
N00000,1912,Philadelphia International Airport,Fort Lauderdale-Hollywood International Airport,7703,7893,39
N00000,1957,Fort Lauderdale-Hollywood International Airport,Charlotte Douglas International Airport,7929,8080,15
N00000,1989,Charlotte Douglas International Airport,Austin-Bergstrom International Airport,8106,8300,20
N00000,2023,Austin-Bergstrom International Airport,Orlando International Airport,8326,8517,16
N00000,2059,Orlando International Airport,John F. Kennedy International Airport,8543,8729,36
N00000,2091,John F. Kennedy International Airport,Nashville International Airport,8765,8930,30
N00000,2119,Nashville International Airport,LaGuardia Airport,8956,9122,18
N00000,2148,LaGuardia Airport,Fort Lauderdale-Hollywood International Airport,9148,9347,42
N00000,2179,Fort Lauderdale-Hollywood International Airport,Newark Liberty International Airport,9373,9572,42
N00000,2209,Newark Liberty International Airport,San Diego International Airport,9608,9957,75
N00000,2253,San Diego International Airport,Hartsfield-Jackson Atlanta International Airport,9993,10293,52
N00000,2288,Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,10329,10655,51
N00000,2325,Seattle-Tacoma International Airport,LaGuardia Airport,10691,11048,90
N00000,2365,LaGuardia Airport,Austin-Bergstrom International Airport,11084,11337,44
N00000,2389,Austin-Bergstrom International Airport,Fort Lauderdale-Hollywood International Airport,11363,11566,15
N00000,2405,Fort Lauderdale-Hollywood International Airport,Detroit Metropolitan Airport,11592,11796,27
N00000,2422,Detroit Metropolitan Airport,Fort Lauderdale-Hollywood International Airport,11832,12038,27
N00000,2439,Fort Lauderdale-Hollywood International Airport,Ronald Reagan Washington National Airport,12064,12245,12
N00000,2450,Ronald Reagan Washington National Airport,Minneapolis-Saint Paul International Airport,12271,12454,10
N00000,2465,Minneapolis-Saint Paul International Airport,Tampa International Airport,12490,12716,16
N00000,2478,Tampa International Airport,Minneapolis-Saint Paul International Airport,12742,12966,16
N00000,2493,Minneapolis-Saint Paul International Airport,Orlando International Airport,13002,13229,21
N00000,2508,Orlando International Airport,Austin-Bergstrom International Airport,13255,13445,12
N00000,2517,Austin-Bergstrom International Airport,Philadelphia International Airport,13471,13711,40
N00000,2529,Philadelphia International Airport,Salt Lake City International Airport,13747,14043,25
N00000,2543,Salt Lake City International Airport,George Bush Intercontinental Airport,14069,14283,12
N00000,2554,George Bush Intercontinental Airport,Charlotte Douglas International Airport,14319,14501,26
N00000,2563,Charlotte Douglas International Airport,Miami International Airport,14527,14680,10
N00000,2572,Miami International Airport,Ronald Reagan Washington National Airport,14706,null,8
N00001,1,Dallas/Fort Worth International Airport,Los Angeles International Airport,35,252,119
