type (arrival/departure),airport,arrival/departure time,aircraft flight number,number of passengers,aircraft tail number
departure,Hartsfield-Jackson Atlanta International Airport,35,0,119,N00000
arrival,Los Angeles International Airport,365,0,119,N00000
departure,Los Angeles International Airport,401,113,119,N00000
arrival,Newark Liberty International Airport,763,113,119,N00000
departure,Newark Liberty International Airport,799,197,119,N00000
arrival,Dallas/Fort Worth International Airport,1031,197,119,N00000
departure,Dallas/Fort Worth International Airport,1057,258,56,N00000
arrival,Orlando International Airport,1249,258,56,N00000
departure,Orlando International Airport,1285,321,119,N00000
arrival,Los Angeles International Airport,1612,321,119,N00000
departure,Los Angeles International Airport,1648,405,119,N00000
arrival,LaGuardia Airport,2012,405,119,N00000
departure,LaGuardia Airport,2048,489,119,N00000
arrival,George Bush Intercontinental Airport,2283,489,119,N00000
departure,George Bush Intercontinental Airport,2309,552,96,N00000
arrival,Phoenix Sky Harbor International Airport,2500,552,96,N00000
departure,Phoenix Sky Harbor International Airport,2526,609,30,N00000
arrival,Denver International Airport,2676,609,30,N00000
departure,Denver International Airport,2702,659,30,N00000
arrival,Phoenix Sky Harbor International Airport,2851,659,30,N00000
departure,Phoenix Sky Harbor International Airport,2887,705,52,N00000
arrival,Seattle-Tacoma International Airport,3089,705,52,N00000
departure,Seattle-Tacoma International Airport,3115,764,38,N00000
arrival,San Francisco International Airport,3271,764,38,N00000
departure,San Francisco International Airport,3307,812,99,N00000
arrival,John F. Kennedy International Airport,3684,812,99,N00000
departure,John F. Kennedy International Airport,3710,917,20,N00000
arrival,Baltimore/Washington International Airport,3798,917,20,N00000
departure,Baltimore/Washington International Airport,3824,948,18,N00000
arrival,LaGuardia Airport,3912,948,18,N00000
departure,LaGuardia Airport,3938,979,40,N00000
arrival,Detroit Metropolitan Airport,4074,979,40,N00000
departure,Detroit Metropolitan Airport,4110,1023,33,N00000
arrival,Minneapolis-Saint Paul International Airport,4249,1023,33,N00000
departure,Minneapolis-Saint Paul International Airport,4275,1067,60,N00000
arrival,Philadelphia International Airport,4465,1067,60,N00000
departure,Philadelphia International Airport,4491,1116,21,N00000
arrival,Logan International Airport,4596,1116,21,N00000
departure,Logan International Airport,4622,1154,22,N00000
arrival,LaGuardia Airport,4710,1154,22,N00000
departure,LaGuardia Airport,4736,1182,44,N00000
arrival,O'Hare International Airport,4900,1182,44,N00000
departure,O'Hare International Airport,4926,1230,14,N00000
arrival,Ronald Reagan Washington National Airport,null,1230,14,N00000
departure,Dallas/Fort Worth International Airport,35,1,119,N00001
arrival,Los Angeles International Airport,252,1,119,N00001
departure,Los Angeles International Airport,278,87,119,N00001
arrival,O'Hare International Airport,562,87,119,N00001
departure,O'Hare International Airport,588,150,116,N00001
arrival,Detroit Metropolitan Airport,691,150,116,N00001
departure,Detroit Metropolitan Airport,717,178,80,N00001
arrival,Newark Liberty International Airport,852,178,80,N00001
departure,Newark Liberty International Airport,888,222,13,N00001
arrival,George Bush Intercontinental Airport,1121,222,13,N00001
departure,George Bush Intercontinental Airport,1147,286,119,N00001
arrival,LaGuardia Airport,1385,286,119,N00001
departure,LaGuardia Airport,1421,353,119,N00001
arrival,Paris Charles de Gaulle Airport,1917,353,119,N00001
departure,Paris Charles de Gaulle Airport,1953,473,63,N00001
arrival,Newark Liberty International Airport,2430,473,63,N00001
departure,Newark Liberty International Airport,2466,592,60,N00001
arrival,Tampa International Airport,2656,592,60,N00001
departure,Tampa International Airport,2682,649,60,N00001
arrival,George Bush Intercontinental Airport,2849,649,60,N00001
departure,George Bush Intercontinental Airport,2875,704,72,N00001
arrival,Minneapolis-Saint Paul International Airport,3071,704,72,N00001
departure,Minneapolis-Saint Paul International Airport,3107,757,46,N00001
arrival,Los Angeles International Airport,3362,757,46,N00001
departure,Los Angeles International Airport,3388,837,119,N00001
arrival,Hartsfield-Jackson Atlanta International Airport,3694,837,119,N00001
departure,Hartsfield-Jackson Atlanta International Airport,3730,922,26,N00001
arrival,Miami International Airport,3879,922,26,N00001
departure,Miami International Airport,3905,967,80,N00001
arrival,O'Hare International Airport,4119,967,80,N00001
departure,O'Hare International Airport,4145,1034,42,N00001
arrival,Tampa International Airport,4341,1034,42,N00001
departure,Tampa International Airport,4367,1089,39,N00001
arrival,Philadelphia International Airport,4550,1089,39,N00001
departure,Philadelphia International Airport,4586,1141,26,N00001
arrival,Hartsfield-Jackson Atlanta International Airport,4742,1141,26,N00001
departure,Hartsfield-Jackson Atlanta International Airport,4768,1191,9,N00001
arrival,Nashville International Airport,4868,1191,9,N00001
departure,Nashville International Airport,4894,1225,13,N00001
arrival,O'Hare International Airport,5023,1225,13,N00001
departure,O'Hare International Airport,null,1266,36,N00001
arrival,Orlando International Airport,null,1266,36,N00001
departure,Denver International Airport,35,2,119,N00002
arrival,Los Angeles International Airport,212,2,119,N00002
departure,Los Angeles International Airport,238,77,119,N00002
arrival,O'Hare International Airport,522,77,119,N00002
departure,O'Hare International Airport,548,143,119,N00002
arrival,Logan International Airport,727,143,119,N00002
departure,Logan International Airport,763,188,119,N00002
arrival,Los Angeles International Airport,1132,188,119,N00002
departure,Los Angeles International Airport,1168,289,119,N00002
arrival,Tampa International Airport,1496,289,119,N00002
departure,Tampa International Airport,1532,377,117,N00002
arrival,Los Angeles International Airport,1880,377,117,N00002
departure,Los Angeles International Airport,1916,465,26,N00002
arrival,Hartsfield-Jackson Atlanta International Airport,2222,465,26,N00002
departure,Hartsfield-Jackson Atlanta International Airport,2248,537,96,N00002
arrival,Dallas/Fort Worth International Airport,2413,537,96,N00002
departure,Dallas/Fort Worth International Airport,2439,586,78,N00002
arrival,Phoenix Sky Harbor International Airport,2617,586,78,N00002
departure,Phoenix Sky Harbor International Airport,2653,638,16,N00002
arrival,Salt Lake City International Airport,2816,638,16,N00002
departure,Salt Lake City International Airport,2842,695,12,N00002
arrival,Seattle-Tacoma International Airport,2999,695,12,N00002
departure,Seattle-Tacoma International Airport,3025,740,60,N00002
arrival,Los Angeles International Airport,3212,740,60,N00002
departure,Los Angeles International Airport,3248,797,75,N00002
arrival,Philadelphia International Airport,3604,797,75,N00002
departure,Philadelphia International Airport,3630,894,60,N00002
arrival,George Bush Intercontinental Airport,3855,894,60,N00002
departure,George Bush Intercontinental Airport,3891,963,30,N00002
arrival,Nashville International Airport,4045,963,30,N00002
departure,Nashville International Airport,4071,1013,8,N00002
arrival,Charlotte Douglas International Airport,4182,1013,8,N00002
departure,Charlotte Douglas International Airport,4208,1049,28,N00002
arrival,Minneapolis-Saint Paul International Airport,4391,1049,28,N00002
departure,Minneapolis-Saint Paul International Airport,4417,1101,24,N00002
arrival,O'Hare International Airport,4531,1101,24,N00002
departure,O'Hare International Airport,4557,1134,25,N00002
arrival,Minneapolis-Saint Paul International Airport,4670,1134,25,N00002
departure,Minneapolis-Saint Paul International Airport,4696,1170,34,N00002
arrival,Newark Liberty International Airport,4889,1170,34,N00002
departure,Newark Liberty International Airport,4915,1229,10,N00002
arrival,Baltimore/Washington International Airport,5001,1229,10,N00002
departure,Baltimore/Washington International Airport,5037,1261,7,N00002
arrival,Logan International Airport,null,1261,7,N00002
departure,O'Hare International Airport,35,3,119,N00003
arrival,Los Angeles International Airport,314,3,119,N00003
departure,Los Angeles International Airport,350,102,119,N00003
arrival,John F. Kennedy International Airport,714,102,119,N00003
departure,John F. Kennedy International Airport,750,181,1,N00003
arrival,Paris Charles de Gaulle Airport,1247,181,1,N00003
departure,Paris Charles de Gaulle Airport,1283,320,7,N00003
arrival,John F. Kennedy International Airport,1759,320,7,N00003
departure,John F. Kennedy International Airport,1795,438,119,N00003
arrival,San Francisco International Airport,2161,438,119,N00003
departure,San Francisco International Airport,2197,523,99,N00003
arrival,Newark Liberty International Airport,2571,523,99,N00003
departure,Newark Liberty International Airport,2597,629,48,N00003
arrival,Orlando International Airport,2781,629,48,N00003
departure,Orlando International Airport,2817,687,33,N00003
arrival,Hartsfield-Jackson Atlanta International Airport,2945,687,33,N00003
departure,Hartsfield-Jackson Atlanta International Airport,2971,728,60,N00003
arrival,George Bush Intercontinental Airport,3130,728,60,N00003
departure,George Bush Intercontinental Airport,3156,780,74,N00003
arrival,Dallas/Fort Worth International Airport,3257,780,74,N00003
departure,Dallas/Fort Worth International Airport,3283,807,70,N00003
arrival,LaGuardia Airport,3520,807,70,N00003
departure,LaGuardia Airport,3556,877,70,N00003
arrival,Dallas/Fort Worth International Airport,3790,877,70,N00003
departure,Dallas/Fort Worth International Airport,3816,947,78,N00003
arrival,Logan International Airport,4079,947,78,N00003
departure,Logan International Airport,4105,1025,14,N00003
arrival,Washington Dulles International Airport,4232,1025,14,N00003
departure,Washington Dulles International Airport,4268,1062,27,N00003
arrival,Hartsfield-Jackson Atlanta International Airport,4410,1062,27,N00003
departure,Hartsfield-Jackson Atlanta International Airport,4436,1105,28,N00003
arrival,John F. Kennedy International Airport,4603,1105,28,N00003
departure,John F. Kennedy International Airport,4629,1157,23,N00003
arrival,Logan International Airport,4717,1157,23,N00003
departure,Logan International Airport,4743,1184,22,N00003
arrival,Newark Liberty International Airport,4840,1184,22,N00003
departure,Newark Liberty International Airport,4866,1217,28,N00003
arrival,Hartsfield-Jackson Atlanta International Airport,5031,1217,28,N00003
departure,Hartsfield-Jackson Atlanta International Airport,null,1268,11,N00003
arrival,Orlando International Airport,null,1268,11,N00003
departure,Hartsfield-Jackson Atlanta International Airport,35,4,119,N00004
arrival,Los Angeles International Airport,365,4,119,N00004
departure,Los Angeles International Airport,401,114,119,N00004
arrival,Newark Liberty International Airport,763,114,119,N00004
departure,Newark Liberty International Airport,799,198,21,N00004
arrival,Dallas/Fort Worth International Airport,1031,198,21,N00004
departure,Dallas/Fort Worth International Airport,1057,259,64,N00004
arrival,Miami International Airport,1264,259,64,N00004
departure,Miami International Airport,1300,328,119,N00004
arrival,Los Angeles International Airport,1641,328,119,N00004
departure,Los Angeles International Airport,1677,412,119,N00004
arrival,LaGuardia Airport,2041,412,119,N00004
departure,LaGuardia Airport,2077,496,13,N00004
arrival,George Bush Intercontinental Airport,2312,496,13,N00004
departure,George Bush Intercontinental Airport,2338,557,64,N00004
arrival,Tampa International Airport,2506,557,64,N00004
departure,Tampa International Airport,2532,610,39,N00004
arrival,Hartsfield-Jackson Atlanta International Airport,2660,610,39,N00004
departure,Hartsfield-Jackson Atlanta International Airport,2686,650,39,N00004
arrival,Fort Lauderdale-Hollywood International Airport,2834,650,39,N00004
departure,Fort Lauderdale-Hollywood International Airport,2870,700,60,N00004
arrival,George Bush Intercontinental Airport,3057,700,60,N00004
departure,George Bush Intercontinental Airport,3083,751,47,N00004
arrival,O'Hare International Airport,3269,751,47,N00004
departure,O'Hare International Airport,3295,810,90,N00004
arrival,Newark Liberty International Airport,3458,810,90,N00004
departure,Newark Liberty International Airport,3484,860,60,N00004
arrival,Detroit Metropolitan Airport,3619,860,60,N00004
departure,Detroit Metropolitan Airport,3645,897,40,N00004
arrival,LaGuardia Airport,3782,897,40,N00004
departure,LaGuardia Airport,3818,944,56,N00004
arrival,Hartsfield-Jackson Atlanta International Airport,3985,944,56,N00004
departure,Hartsfield-Jackson Atlanta International Airport,4011,999,30,N00004
arrival,Minneapolis-Saint Paul International Airport,4193,999,30,N00004
departure,Minneapolis-Saint Paul International Airport,4219,1054,68,N00004
arrival,John F. Kennedy International Airport,4414,1054,68,N00004
departure,John F. Kennedy International Airport,4440,1106,44,N00004
arrival,O'Hare International Airport,4604,1106,44,N00004
departure,O'Hare International Airport,4640,1158,14,N00004
arrival,Washington Dulles International Airport,4788,1158,14,N00004
departure,Washington Dulles International Airport,4814,1205,9,N00004
arrival,John F. Kennedy International Airport,4914,1205,9,N00004
departure,John F. Kennedy International Airport,4940,1235,28,N00004
arrival,Hartsfield-Jackson Atlanta International Airport,null,1235,28,N00004
departure,Dallas/Fort Worth International Airport,35,5,119,N00005
arrival,Los Angeles International Airport,252,5,119,N00005
departure,Los Angeles International Airport,278,88,119,N00005
arrival,O'Hare International Airport,562,88,119,N00005
departure,O'Hare International Airport,598,151,119,N00005
arrival,Phoenix Sky Harbor International Airport,838,151,119,N00005
departure,Phoenix Sky Harbor International Airport,864,217,119,N00005
arrival,O'Hare International Airport,1107,217,119,N00005
departure,O'Hare International Airport,1143,282,84,N00005
arrival,Fort Lauderdale-Hollywood International Airport,1358,282,84,N00005
departure,Fort Lauderdale-Hollywood International Airport,1384,347,80,N00005
arrival,O'Hare International Airport,1597,347,80,N00005
departure,O'Hare International Airport,1633,401,119,N00005
arrival,San Francisco International Airport,1923,401,119,N00005
departure,San Francisco International Airport,1949,476,22,N00005
arrival,O'Hare International Airport,2244,476,22,N00005
departure,O'Hare International Airport,2280,547,54,N00005
arrival,Charlotte Douglas International Airport,2430,547,54,N00005
departure,Charlotte Douglas International Airport,2456,593,99,N00005
arrival,Los Angeles International Airport,2773,593,99,N00005
departure,Los Angeles International Airport,2809,684,119,N00005
arrival,Fort Lauderdale-Hollywood International Airport,3158,684,119,N00005
