flight number,source airport,destination airport,number of passengers,scheduled departure time,scheduled arrival time,actual departure time,actual arrival time,aircraft tail number,aircraft type
0,Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,119,35,356,35,356,N00000,Boeing 737-600
79,San Francisco International Airport,Los Angeles International Airport,119,382,494,382,494,N00000,Boeing 737-600
95,Los Angeles International Airport,LaGuardia Airport,119,530,894,530,894,N00000,Boeing 737-600
180,LaGuardia Airport,O'Hare International Airport,119,920,1084,920,1084,N00000,Boeing 737-600
223,O'Hare International Airport,Nashville International Airport,70,1110,1239,1110,1239,N00000,Boeing 737-600
254,Nashville International Airport,Charlotte Douglas International Airport,20,1275,1386,1275,1386,N00000,Boeing 737-600
285,Charlotte Douglas International Airport,Nashville International Airport,20,1412,1522,1412,1522,N00000,Boeing 737-600
329,Nashville International Airport,Hartsfield-Jackson Atlanta International Airport,40,1766,1866,1766,1866,N00000,Boeing 737-600
381,Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,11,1892,2044,1892,2044,N00000,Boeing 737-600
414,O'Hare International Airport,Los Angeles International Airport,119,2070,2349,2070,2349,N00000,Boeing 737-600
479,Los Angeles International Airport,George Bush Intercontinental Airport,1,2385,2619,2385,2619,N00000,Boeing 737-600
539,George Bush Intercontinental Airport,Newark Liberty International Airport,119,2645,2881,2645,2881,N00000,Boeing 737-600
603,Newark Liberty International Airport,Los Angeles International Airport,119,2917,3269,2917,3277,N00000,Boeing 737-600
679,Los Angeles International Airport,John F. Kennedy International Airport,119,3313,3677,3313,3677,N00000,Boeing 737-600
764,John F. Kennedy International Airport,Dallas/Fort Worth International Airport,119,3713,3947,3713,3947,N00000,Boeing 737-600
829,Dallas/Fort Worth International Airport,LaGuardia Airport,119,3973,4210,3973,4210,N00000,Boeing 737-600
886,LaGuardia Airport,Baltimore/Washington International Airport,50,4236,4324,4236,4324,N00000,Boeing 737-600
922,Baltimore/Washington International Airport,Los Angeles International Airport,119,4360,4699,4360,4699,N00000,Boeing 737-600
981,Los Angeles International Airport,O'Hare International Airport,119,4735,5019,4735,5019,N00000,Boeing 737-600
1046,O'Hare International Airport,John F. Kennedy International Airport,119,5045,5210,5045,5210,N00000,Boeing 737-600
1089,John F. Kennedy International Airport,Dallas/Fort Worth International Airport,40,5246,5480,5246,5480,N00000,Boeing 737-600
1148,Dallas/Fort Worth International Airport,Newark Liberty International Airport,119,5506,5741,5506,5741,N00000,Boeing 737-600
1213,Newark Liberty International Airport,Seattle-Tacoma International Airport,90,5777,6124,5777,6152,N00000,Boeing 737-600
1289,Seattle-Tacoma International Airport,Salt Lake City International Airport,15,6178,6335,6178,6335,N00000,Boeing 737-600
1327,Salt Lake City International Airport,Los Angeles International Airport,75,6361,6507,6361,6507,N00000,Boeing 737-600
1356,Los Angeles International Airport,George Bush Intercontinental Airport,119,6543,6777,6543,6777,N00000,Boeing 737-600
1427,George Bush Intercontinental Airport,Dallas/Fort Worth International Airport,25,6803,6904,6803,6904,N00000,Boeing 737-600
1457,Dallas/Fort Worth International Airport,Newark Liberty International Airport,119,6930,7165,6930,7165,N00000,Boeing 737-600
1523,Newark Liberty International Airport,San Diego International Airport,75,7202,7551,7202,7551,N00000,Boeing 737-600
1574,San Diego International Airport,Phoenix Sky Harbor International Airport,55,7577,7685,7577,7685,N00000,Boeing 737-600
1620,Phoenix Sky Harbor International Airport,Los Angeles International Airport,119,7711,7833,7711,7833,N00000,Boeing 737-600
1644,Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,119,7869,8175,7869,8175,N00000,Boeing 737-600
1724,Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,25,8201,8366,8201,8366,N00000,Boeing 737-600
1769,Dallas/Fort Worth International Airport,LaGuardia Airport,119,8402,8639,8402,8639,N00000,Boeing 737-600
1834,LaGuardia Airport,Los Angeles International Airport,119,8675,9029,8675,9029,N00000,Boeing 737-600
1899,Los Angeles International Airport,O'Hare International Airport,119,9065,9349,9065,9349,N00000,Boeing 737-600
