flight number,source airport,destination airport,number of passengers,scheduled departure time,scheduled arrival time,actual departure time,actual arrival time,aircraft tail number
0,Dallas/Fort Worth International Airport,Los Angeles International Airport,388,35,252,35,304,N00000
1,Denver International Airport,Los Angeles International Airport,144,35,212,35,212,N00001
2,O'Hare International Airport,Los Angeles International Airport,496,35,314,35,396,N00002
3,O'Hare International Airport,Los Angeles International Airport,496,35,314,35,396,N00003
4,Dallas/Fort Worth International Airport,Los Angeles International Airport,388,35,252,35,304,N00004
5,Dallas/Fort Worth International Airport,Los Angeles International Airport,388,35,252,35,304,N00005
6,Denver International Airport,Los Angeles International Airport,144,35,212,35,212,N00006
7,O'Hare International Airport,Los Angeles International Airport,496,35,314,35,406,N00007
8,Denver International Airport,Los Angeles International Airport,144,35,212,35,212,N00008
9,Denver International Airport,Los Angeles International Airport,144,35,212,35,212,N00009
10,Denver International Airport,Los Angeles International Airport,144,35,212,35,212,N00010
11,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,308,35,335,35,488,N00011
12,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,308,35,335,35,498,N00012
13,Denver International Airport,Los Angeles International Airport,144,35,212,35,253,N00013
14,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,308,35,335,35,,N00014
15,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,308,35,335,35,,N00015
16,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,308,35,335,35,,N00016
17,Dallas/Fort Worth International Airport,Los Angeles International Airport,388,35,252,35,304,N00017
18,Dallas/Fort Worth International Airport,Los Angeles International Airport,388,35,252,35,345,N00018
19,Denver International Airport,Los Angeles International Airport,144,35,212,35,253,N00019
20,O'Hare International Airport,Los Angeles International Airport,496,35,314,35,447,N00020
21,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,308,35,335,35,,N00021
22,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,308,35,335,35,,N00022
23,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,308,35,335,35,,N00023
24,Dallas/Fort Worth International Airport,Los Angeles International Airport,388,35,252,35,345,N00024
25,O'Hare International Airport,Los Angeles International Airport,496,35,314,35,447,N00025
26,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,308,35,335,35,,N00026
27,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,308,35,335,35,,N00027
28,O'Hare International Airport,Los Angeles International Airport,496,35,314,35,447,N00028
29,Dallas/Fort Worth International Airport,Los Angeles International Airport,388,35,252,35,345,N00029
30,O'Hare International Airport,Los Angeles International Airport,496,35,328,35,447,N00030
31,Denver International Airport,Los Angeles International Airport,144,35,218,35,253,N00031
32,O'Hare International Airport,Los Angeles International Airport,496,35,328,35,457,N00032
33,Denver International Airport,Los Angeles International Airport,144,35,218,35,253,N00033
34,Dallas/Fort Worth International Airport,Los Angeles International Airport,388,35,262,35,345,N00034
35,Denver International Airport,Los Angeles International Airport,144,35,218,35,253,N00035
36,Dallas/Fort Worth International Airport,Los Angeles International Airport,388,35,262,35,355,N00036
